timestamp,temp_sht31_raw,rh_sht31_raw,temp_bme280_raw,rh_bme280_raw,pressure_bme280_raw,temp_sht31_clean,rh_sht31_clean,temp_bme280_clean,rh_bme280_clean,pressure_bme280_clean,records_in_bin,empty_bin_flag,multi_record_bin_flag,duplicate_timestamp_aggregated_flag,rh_bme280_saturated_flag,temp_sht31_observed_flag,rh_sht31_observed_flag,temp_bme280_observed_flag,rh_bme280_observed_flag,pressure_bme280_observed_flag,temp_sht31_interpolated_flag,rh_sht31_interpolated_flag,temp_bme280_interpolated_flag,rh_bme280_interpolated_flag,pressure_bme280_interpolated_flag,temp_sht31_available_after_qc_flag,rh_sht31_available_after_qc_flag,temp_bme280_available_after_qc_flag,rh_bme280_available_after_qc_flag,pressure_bme280_available_after_qc_flag,target_pair_observed_flag,target_pair_interpolated_flag,target_pair_available_flag,quality_status,temp_sht31_clean_step_review_flag,rh_sht31_clean_step_review_flag,temp_bme280_clean_step_review_flag,pressure_bme280_clean_step_review_flag
2026-03-22 00:00:00,24.46,58.33,24.61,53.81,958.44,24.46,58.33,24.61,53.81,958.44,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:04:00,24.35,58.65,24.48,54.05,958.4,24.35,58.65,24.48,54.05,958.4,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:08:00,24.3,58.97,24.43,54.3,958.43,24.3,58.97,24.43,54.3,958.43,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:12:00,24.28,59.62,24.39,54.83,958.36,24.28,59.62,24.39,54.83,958.36,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:16:00,24.3,59.83,24.42,54.99,958.33,24.3,59.83,24.42,54.99,958.33,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:20:00,24.33,60.31,24.41,55.51,958.35,24.33,60.31,24.41,55.51,958.35,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:24:00,24.28,60.59,24.38,55.71,958.37,24.28,60.59,24.38,55.71,958.37,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:28:00,,,,,,24.285,59.885000000000005,24.39,,958.37,0,True,False,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,False,True,True,short_gap_interpolated,False,False,False,False
2026-03-22 00:32:00,24.29,59.18,24.4,54.56,958.37,24.29,59.18,24.4,54.56,958.37,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:36:00,24.25,58.16,24.37,53.74,958.41,24.25,58.16,24.37,53.74,958.41,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:40:00,24.09,58.28,24.27,53.77,958.43,24.09,58.28,24.27,53.77,958.43,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:44:00,24.14,58.27,24.26,53.77,958.42,24.14,58.27,24.26,53.77,958.42,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
2026-03-22 00:48:00,24.15,58.33,24.25,53.85,958.44,24.15,58.33,24.25,53.85,958.44,1,False,False,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,True,False,True,observed_complete,False,False,False,False
