origin_index,history_start_index,origin_timestamp,history_start_timestamp,split,resolution,resolution_minutes,feature_set,history_hours,history_steps,n_features,history_interpolated_fraction,target_index_h60,target_timestamp_h60,target_index_h120,target_timestamp_h120,target_index_h240,target_timestamp_h240,target_index_h480,target_timestamp_h480
8241,8122,2026-05-29 16:12:00,2026-05-28 16:24:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8246,2026-05-29 17:12:00,8251,2026-05-29 18:12:00,8261,2026-05-29 20:12:00,8281,2026-05-30 00:12:00
8242,8123,2026-05-29 16:24:00,2026-05-28 16:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8247,2026-05-29 17:24:00,8252,2026-05-29 18:24:00,8262,2026-05-29 20:24:00,8282,2026-05-30 00:24:00
8244,8125,2026-05-29 16:48:00,2026-05-28 17:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8249,2026-05-29 17:48:00,8254,2026-05-29 18:48:00,8264,2026-05-29 20:48:00,8284,2026-05-30 00:48:00
8245,8126,2026-05-29 17:00:00,2026-05-28 17:12:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8250,2026-05-29 18:00:00,8255,2026-05-29 19:00:00,8265,2026-05-29 21:00:00,8285,2026-05-30 01:00:00
8247,8128,2026-05-29 17:24:00,2026-05-28 17:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8252,2026-05-29 18:24:00,8257,2026-05-29 19:24:00,8267,2026-05-29 21:24:00,8287,2026-05-30 01:24:00
8249,8130,2026-05-29 17:48:00,2026-05-28 18:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888889,8254,2026-05-29 18:48:00,8259,2026-05-29 19:48:00,8269,2026-05-29 21:48:00,8289,2026-05-30 01:48:00
8250,8131,2026-05-29 18:00:00,2026-05-28 18:12:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888889,8255,2026-05-29 19:00:00,8260,2026-05-29 20:00:00,8270,2026-05-29 22:00:00,8290,2026-05-30 02:00:00
8251,8132,2026-05-29 18:12:00,2026-05-28 18:24:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888889,8256,2026-05-29 19:12:00,8261,2026-05-29 20:12:00,8271,2026-05-29 22:12:00,8291,2026-05-30 02:12:00
8252,8133,2026-05-29 18:24:00,2026-05-28 18:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888889,8257,2026-05-29 19:24:00,8262,2026-05-29 20:24:00,8272,2026-05-29 22:24:00,8292,2026-05-30 02:24:00
8256,8137,2026-05-29 19:12:00,2026-05-28 19:24:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8261,2026-05-29 20:12:00,8266,2026-05-29 21:12:00,8276,2026-05-29 23:12:00,8296,2026-05-30 03:12:00
8257,8138,2026-05-29 19:24:00,2026-05-28 19:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8262,2026-05-29 20:24:00,8267,2026-05-29 21:24:00,8277,2026-05-29 23:24:00,8297,2026-05-30 03:24:00
8260,8141,2026-05-29 20:00:00,2026-05-28 20:12:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8265,2026-05-29 21:00:00,8270,2026-05-29 22:00:00,8280,2026-05-30 00:00:00,8300,2026-05-30 04:00:00
8261,8142,2026-05-29 20:12:00,2026-05-28 20:24:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8266,2026-05-29 21:12:00,8271,2026-05-29 22:12:00,8281,2026-05-30 00:12:00,8301,2026-05-30 04:12:00
8262,8143,2026-05-29 20:24:00,2026-05-28 20:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8267,2026-05-29 21:24:00,8272,2026-05-29 22:24:00,8282,2026-05-30 00:24:00,8302,2026-05-30 04:24:00
8263,8144,2026-05-29 20:36:00,2026-05-28 20:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8268,2026-05-29 21:36:00,8273,2026-05-29 22:36:00,8283,2026-05-30 00:36:00,8303,2026-05-30 04:36:00
8265,8146,2026-05-29 21:00:00,2026-05-28 21:12:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8270,2026-05-29 22:00:00,8275,2026-05-29 23:00:00,8285,2026-05-30 01:00:00,8305,2026-05-30 05:00:00
8267,8148,2026-05-29 21:24:00,2026-05-28 21:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8272,2026-05-29 22:24:00,8277,2026-05-29 23:24:00,8287,2026-05-30 01:24:00,8307,2026-05-30 05:24:00
8268,8149,2026-05-29 21:36:00,2026-05-28 21:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8273,2026-05-29 22:36:00,8278,2026-05-29 23:36:00,8288,2026-05-30 01:36:00,8308,2026-05-30 05:36:00
8272,8153,2026-05-29 22:24:00,2026-05-28 22:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8277,2026-05-29 23:24:00,8282,2026-05-30 00:24:00,8292,2026-05-30 02:24:00,8312,2026-05-30 06:24:00
8273,8154,2026-05-29 22:36:00,2026-05-28 22:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8278,2026-05-29 23:36:00,8283,2026-05-30 00:36:00,8293,2026-05-30 02:36:00,8313,2026-05-30 06:36:00
8277,8158,2026-05-29 23:24:00,2026-05-28 23:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8282,2026-05-30 00:24:00,8287,2026-05-30 01:24:00,8297,2026-05-30 03:24:00,8317,2026-05-30 07:24:00
8279,8160,2026-05-29 23:48:00,2026-05-29 00:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04444444444444444,8284,2026-05-30 00:48:00,8289,2026-05-30 01:48:00,8299,2026-05-30 03:48:00,8319,2026-05-30 07:48:00
8283,8164,2026-05-30 00:36:00,2026-05-29 00:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8288,2026-05-30 01:36:00,8293,2026-05-30 02:36:00,8303,2026-05-30 04:36:00,8323,2026-05-30 08:36:00
8284,8165,2026-05-30 00:48:00,2026-05-29 01:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8289,2026-05-30 01:48:00,8294,2026-05-30 02:48:00,8304,2026-05-30 04:48:00,8324,2026-05-30 08:48:00
8286,8167,2026-05-30 01:12:00,2026-05-29 01:24:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8291,2026-05-30 02:12:00,8296,2026-05-30 03:12:00,8306,2026-05-30 05:12:00,8326,2026-05-30 09:12:00
8289,8170,2026-05-30 01:48:00,2026-05-29 02:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8294,2026-05-30 02:48:00,8299,2026-05-30 03:48:00,8309,2026-05-30 05:48:00,8329,2026-05-30 09:48:00
8292,8173,2026-05-30 02:24:00,2026-05-29 02:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.04166666666666666,8297,2026-05-30 03:24:00,8302,2026-05-30 04:24:00,8312,2026-05-30 06:24:00,8332,2026-05-30 10:24:00
8297,8178,2026-05-30 03:24:00,2026-05-29 03:36:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888889,8302,2026-05-30 04:24:00,8307,2026-05-30 05:24:00,8317,2026-05-30 07:24:00,8337,2026-05-30 11:24:00
8298,8179,2026-05-30 03:36:00,2026-05-29 03:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8303,2026-05-30 04:36:00,8308,2026-05-30 05:36:00,8318,2026-05-30 07:36:00,8338,2026-05-30 11:36:00
8308,8189,2026-05-30 05:36:00,2026-05-29 05:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8313,2026-05-30 06:36:00,8318,2026-05-30 07:36:00,8328,2026-05-30 09:36:00,8348,2026-05-30 13:36:00
8309,8190,2026-05-30 05:48:00,2026-05-29 06:00:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.03888888888888888,8314,2026-05-30 06:48:00,8319,2026-05-30 07:48:00,8329,2026-05-30 09:48:00,8349,2026-05-30 13:48:00
8318,8199,2026-05-30 07:36:00,2026-05-29 07:48:00,train,12min,12,SHT_AUX_TIME,24,120,8,0.041666666666666664,8323,2026-05-30 08:36:00,8328,2026-05-30 09:36:00,8338,2026-05-30 11:36:00,8358,2026-05-30 15:36:00
