origin_index,history_start_index,origin_timestamp,history_start_timestamp,split,resolution,resolution_minutes,feature_set,history_hours,history_steps,n_features,history_interpolated_fraction,target_index_h60,target_timestamp_h60,target_index_h120,target_timestamp_h120,target_index_h240,target_timestamp_h240,target_index_h480,target_timestamp_h480
8152,8123,2026-05-28 22:24:00,2026-05-28 16:36:00,train,12min,12,SHT_BASE,6,30,2,0.033333333333333354,8157,2026-05-28 23:24:00,8162,2026-05-29 00:24:00,8172,2026-05-29 02:24:00,8192,2026-05-29 06:24:00
8155,8126,2026-05-28 23:00:00,2026-05-28 17:12:00,train,12min,12,SHT_BASE,6,30,2,0.033333333333333354,8160,2026-05-29 00:00:00,8165,2026-05-29 01:00:00,8175,2026-05-29 03:00:00,8195,2026-05-29 07:00:00
8159,8130,2026-05-28 23:48:00,2026-05-28 18:00:00,train,12min,12,SHT_BASE,6,30,2,0.022222222222222247,8164,2026-05-29 00:48:00,8169,2026-05-29 01:48:00,8179,2026-05-29 03:48:00,8199,2026-05-29 07:48:00
8160,8131,2026-05-29 00:00:00,2026-05-28 18:12:00,train,12min,12,SHT_BASE,6,30,2,0.022222222222222247,8165,2026-05-29 01:00:00,8170,2026-05-29 02:00:00,8180,2026-05-29 04:00:00,8200,2026-05-29 08:00:00
8161,8132,2026-05-29 00:12:00,2026-05-28 18:24:00,train,12min,12,SHT_BASE,6,30,2,0.033333333333333354,8166,2026-05-29 01:12:00,8171,2026-05-29 02:12:00,8181,2026-05-29 04:12:00,8201,2026-05-29 08:12:00
8162,8133,2026-05-29 00:24:00,2026-05-28 18:36:00,train,12min,12,SHT_BASE,6,30,2,0.033333333333333354,8167,2026-05-29 01:24:00,8172,2026-05-29 02:24:00,8182,2026-05-29 04:24:00,8202,2026-05-29 08:24:00
8165,8136,2026-05-29 01:00:00,2026-05-28 19:12:00,train,12min,12,SHT_BASE,6,30,2,0.04444444444444447,8170,2026-05-29 02:00:00,8175,2026-05-29 03:00:00,8185,2026-05-29 05:00:00,8205,2026-05-29 09:00:00
8167,8138,2026-05-29 01:24:00,2026-05-28 19:36:00,train,12min,12,SHT_BASE,6,30,2,0.04444444444444447,8172,2026-05-29 02:24:00,8177,2026-05-29 03:24:00,8187,2026-05-29 05:24:00,8207,2026-05-29 09:24:00
8171,8142,2026-05-29 02:12:00,2026-05-28 20:24:00,train,12min,12,SHT_BASE,6,30,2,0.03333333333333335,8176,2026-05-29 03:12:00,8181,2026-05-29 04:12:00,8191,2026-05-29 06:12:00,8211,2026-05-29 10:12:00
8172,8143,2026-05-29 02:24:00,2026-05-28 20:36:00,train,12min,12,SHT_BASE,6,30,2,0.03333333333333335,8177,2026-05-29 03:24:00,8182,2026-05-29 04:24:00,8192,2026-05-29 06:24:00,8212,2026-05-29 10:24:00
8173,8144,2026-05-29 02:36:00,2026-05-28 20:48:00,train,12min,12,SHT_BASE,6,30,2,0.04444444444444447,8178,2026-05-29 03:36:00,8183,2026-05-29 04:36:00,8193,2026-05-29 06:36:00,8213,2026-05-29 10:36:00
8182,8153,2026-05-29 04:24:00,2026-05-28 22:36:00,train,12min,12,SHT_BASE,6,30,2,0.04444444444444447,8187,2026-05-29 05:24:00,8192,2026-05-29 06:24:00,8202,2026-05-29 08:24:00,8222,2026-05-29 12:24:00
