resolution,target,seasonal_steps,seasonally_differenced_n,hurst_rs,acf_lag_1,acf_lag_24h_after_difference,gph_d,gph_p_value,gph_r2,gph_m
4min,temperature,360,37440,0.721275108776711,0.9992489449840318,-0.3646841480833473,0.04320919821898535,0.5050916130811576,0.002329148879431383,193
4min,relative_humidity,360,37440,0.7421658452128403,0.9991876690271402,-0.3557889137512239,0.08444200126888529,0.19213461050974687,0.008890241224413242,193
12min,temperature,120,12480,0.6344240018941099,0.995808285408113,-0.36395436280058363,0.12447314551527981,0.22425248075889215,0.013519990765359728,111
12min,relative_humidity,120,12480,0.6634884371760074,0.9960026128648201,-0.3557853989396737,0.16482916704950348,0.11482189194351212,0.02265662386753062,111
20min,temperature,72,7488,0.5883002034177417,0.9901683267611998,-0.3632579019129223,-0.27709230305351,0.0012940640753471993,0.11657940792564062,86
20min,relative_humidity,72,7488,0.6222642714377534,0.9907149625643595,-0.3549931393425458,-0.2481715771881377,0.005428255915755232,0.08842384681694573,86
30min,temperature,48,4992,0.5568943777252597,0.9808265429347207,-0.36320831097019557,-0.31446405610456796,0.0024495687106059105,0.12711681294689,70
30min,relative_humidity,48,4992,0.5963858672174733,0.9818341397017589,-0.35485132897681065,-0.34599590556977844,0.0004184778571192647,0.16838547319221359,70
60min,temperature,24,2496,0.4847623107439871,0.9393889387091517,-0.3583924057486567,-0.33276176967268917,0.017808415017739603,0.11372719360898005,49
60min,relative_humidity,24,2496,0.5313745107755936,0.9411810335901387,-0.35228784073754227,-0.5057120532969213,6.289227999465107e-05,0.2912486517553864,49
