resolution,resolution_minutes,target,family,candidate_id,parameters,validation_nrmse,validation_rmse,validation_r2,aic,bic,fit_seconds,selection_rule
4min,4,relative_humidity,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.2782762124226688,3.6422955016357923,0.8999872583495861,67750.16756242415,67784.28954214651,1.1666891999775544,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
4min,4,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.25100082028217896,1.223358949027674,0.903032359293035,-14630.813190036706,-14596.69121031434,1.4591877999482676,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
12min,12,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",0.2697593691605545,3.529260328962746,0.9075074327675283,36362.02241978771,36391.749950355406,1.1553493000101298,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
12min,12,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.23949372231369428,1.166759954602262,0.9152628745388689,11306.384264847879,11336.111795415572,0.6637374999700114,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
20min,20,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",0.2687725871364798,3.514043725170631,0.9047162598082273,26389.26128960643,26416.94551767906,0.6247398999985307,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
20min,20,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.23729232800425976,1.1550944664501446,0.9097522094393724,11655.240453475208,11682.924681547838,0.31087609997484833,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
30min,30,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",0.2705945784609415,3.534141664236518,0.9023971869279928,19719.07492161426,19745.137289254457,0.40586729999631643,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
30min,30,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.23815272924878017,1.1579271664321817,0.9079363759387089,10072.81281039109,10098.875178031287,0.20043780002743006,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
60min,60,relative_humidity,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}",0.24053639043529446,3.1289036416196896,0.91966358810074,10310.32622143064,10339.386088578749,30.188822900061496,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
60min,60,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",0.21336916835822717,1.0327504641397256,0.9265382740423297,6718.34677300581,6741.636551923767,0.1790923000080511,Lowest mean validation NRMSE; mean validation R2 as secondary criterion
