resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
4min,temperature,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,37800,22.75,1.0442774000111967,6.561328599927947,-19221.62483674869,-19196.00464360387,ok
4min,temperature,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,37800,22.75,1.6400678999489173,7.238911199965514,-33729.75414281685,-33695.593885290415,ok
4min,temperature,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,37800,22.75,4.06782190001104,7.434332600096241,-28728.932924080287,-28694.772666553858,ok
4min,temperature,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,37800,22.75,6.244590800022706,8.227778899949044,-35829.071407811905,-35794.91125610698,ok
4min,temperature,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,37800,22.75,0.8330821999115869,6.379280099994503,-10392.666595791923,-10367.07511100015,ok
4min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,37800,22.75,1.4591877999482676,7.426838500075974,-14630.813190036706,-14596.69121031434,ok
4min,temperature,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,37800,22.75,2.5651358000468463,7.9293168999720365,-14009.508131805782,-13975.386152083416,ok
4min,temperature,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,37800,22.75,7.079497499973513,6.814067799947225,-32184.855748630216,-32142.156352733848,ok
4min,temperature,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,37800,22.75,37.64576749992557,7.281297900015488,-34115.27909332214,-34064.03997700816,ok
4min,temperature,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,37800,22.75,74.26204050006345,13.51484590000473,-37455.985389518464,-37396.20753192003,ok
4min,temperature,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,37800,22.75,2.92305620003026,10.029823099961504,-30001.65779069002,-29976.037597545197,ok
4min,temperature,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,37800,22.75,3.324263499933295,10.679509500041604,-33930.78242358156,-33896.622166055124,ok
