resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,model_path
4min,relative_humidity,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,45720,71.11875,1.6215639999136329,13.65484319999814,78728.49043307327,78763.37997682688,models\advanced_traditional\4min\relative_humidity\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
4min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,45720,22.37,1.8404321999987587,13.35170450003352,-22945.079447882752,-22910.189904129147,models\advanced_traditional\4min\temperature\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
12min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,15240,71.10000000000001,1.5200854999711737,1.2547662999713793,42698.904369737014,42729.39946433595,models\advanced_traditional\12min\relative_humidity\SARIMA_DAILY_DIFFERENCE_candidate_3.joblib
12min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,15240,22.374166666666667,0.7612463000696152,1.5443023000843823,12036.241785319024,12066.736879917959,models\advanced_traditional\12min\temperature\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
20min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,9144,71.128,0.7252267999574542,1.9980621000286192,31102.405472410825,31130.857264514696,models\advanced_traditional\20min\relative_humidity\SARIMA_DAILY_DIFFERENCE_candidate_3.joblib
20min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,9144,22.386000000000003,0.8112313998863101,1.864411300048232,13113.89047915587,13142.34227125974,models\advanced_traditional\20min\temperature\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
30min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,6096,71.0940625,0.5120048000244424,1.126326399971731,23352.615321020807,23379.445252692243,models\advanced_traditional\30min\relative_humidity\SARIMA_DAILY_DIFFERENCE_candidate_3.joblib
30min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,6096,22.3846875,0.25266560004092753,1.0868554000044242,11574.594777736756,11601.424709408195,models\advanced_traditional\30min\temperature\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
60min,relative_humidity,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}",train+validation,3048,70.99966666666667,37.747760199941695,5.928532800055109,12275.268415644954,12305.296919038266,models\advanced_traditional\60min\relative_humidity\SARIMA_EXACT_candidate_2.joblib
60min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train+validation,3048,22.41166666666667,0.2652338999323547,0.6108249000972137,7888.004333076393,7912.061676025591,models\advanced_traditional\60min\temperature\SARIMA_DAILY_DIFFERENCE_candidate_2.joblib
