resolution,resolution_minutes,target,horizon_minutes,family,n,error_acf_1,squared_error_acf_1,ljung_box_lag,ljung_box_statistic,ljung_box_p_value,residual_autocorrelation_flag
4min,4,relative_humidity,60,SARIMA_DAILY_DIFFERENCE,2742,0.9214183299928489,0.8886068274490247,360,10574.949247160344,0.0,True
4min,4,relative_humidity,120,SARIMA_DAILY_DIFFERENCE,2742,0.9593149063433137,0.9498144101580637,360,17177.18252361906,0.0,True
4min,4,relative_humidity,240,SARIMA_DAILY_DIFFERENCE,2742,0.9795166633884703,0.9604901506539021,360,33323.70807859039,0.0,True
4min,4,relative_humidity,480,SARIMA_DAILY_DIFFERENCE,2742,0.9843563352742102,0.9663288786876423,360,53922.796056559484,0.0,True
4min,4,temperature,60,SARIMA_DAILY_DIFFERENCE,2742,0.9351196656705331,0.9179164348686766,360,12249.722311200258,0.0,True
4min,4,temperature,120,SARIMA_DAILY_DIFFERENCE,2742,0.9669531926515216,0.9622793359670955,360,20540.955914432536,0.0,True
4min,4,temperature,240,SARIMA_DAILY_DIFFERENCE,2742,0.9865864563998156,0.9766948375065028,360,40738.30569174653,0.0,True
4min,4,temperature,480,SARIMA_DAILY_DIFFERENCE,2742,0.9883717738949506,0.971750384102884,360,62463.859806992084,0.0,True
12min,12,relative_humidity,60,SARIMA_DAILY_DIFFERENCE,378,0.5164782411366248,0.49179969111745714,75,289.85230999009707,5.161276126456637e-27,True
12min,12,relative_humidity,120,SARIMA_DAILY_DIFFERENCE,378,0.584769473747062,0.5438459846055618,75,354.0720765463761,8.218529033936367e-38,True
12min,12,relative_humidity,240,SARIMA_DAILY_DIFFERENCE,378,0.7338774284593745,0.6551706581664102,75,622.1002813783922,3.9974342843089257e-87,True
12min,12,relative_humidity,480,SARIMA_DAILY_DIFFERENCE,378,0.8568168292220304,0.796449268645158,75,1216.0978024511019,1.6411222705343334e-205,True
12min,12,temperature,60,SARIMA_DAILY_DIFFERENCE,378,0.5533613481153655,0.43026918223960037,75,287.6607903511557,1.1733314437808158e-26,True
12min,12,temperature,120,SARIMA_DAILY_DIFFERENCE,378,0.6584860266726786,0.5471717712075845,75,404.76135223920426,1.0351329368923094e-46,True
12min,12,temperature,240,SARIMA_DAILY_DIFFERENCE,378,0.7938163893650321,0.6634524728435417,75,812.3837704771438,3.15793517176706e-124,True
12min,12,temperature,480,SARIMA_DAILY_DIFFERENCE,378,0.8820195314626065,0.7786797424203058,75,1213.4935955827189,5.581032204592854e-205,True
20min,20,relative_humidity,60,SARIMA_DAILY_DIFFERENCE,556,0.5358372801681182,0.5016664748688222,72,281.38803097326485,1.569202878387947e-26,True
20min,20,relative_humidity,120,SARIMA_DAILY_DIFFERENCE,556,0.6953887994346201,0.5416843683208443,72,507.7234413338293,9.120929020957412e-67,True
20min,20,relative_humidity,240,SARIMA_DAILY_DIFFERENCE,556,0.8266947006958932,0.7171110723131024,72,1165.9153872697761,4.3111560909071044e-197,True
20min,20,relative_humidity,480,SARIMA_DAILY_DIFFERENCE,556,0.9129621650849721,0.8172274178478632,72,2231.507895192097,0.0,True
20min,20,temperature,60,SARIMA_DAILY_DIFFERENCE,556,0.5837113103105387,0.5537449043083813,72,347.02876200565265,1.2683343320554146e-37,True
20min,20,temperature,120,SARIMA_DAILY_DIFFERENCE,556,0.7751036865330795,0.7212351892375242,72,772.5635324996616,6.434300046213294e-118,True
20min,20,temperature,240,SARIMA_DAILY_DIFFERENCE,556,0.8883833742768129,0.7989400067685873,72,1580.8778379539604,1.404559047986296e-282,True
20min,20,temperature,480,SARIMA_DAILY_DIFFERENCE,556,0.923653827707216,0.8279639535097082,72,2521.755621622559,0.0,True
30min,30,relative_humidity,60,SARIMA_DAILY_DIFFERENCE,350,0.3563747367499823,0.42005628460848593,48,81.84080701805401,0.0016760648803047149,True
30min,30,relative_humidity,120,SARIMA_DAILY_DIFFERENCE,350,0.6523033519589226,0.6702152411618306,48,249.9220245700669,4.27409901247735e-29,True
30min,30,relative_humidity,240,SARIMA_DAILY_DIFFERENCE,350,0.7809358658697928,0.7217491067999553,48,518.1858253703422,4.11676063605418e-80,True
30min,30,relative_humidity,480,SARIMA_DAILY_DIFFERENCE,350,0.8556513185756677,0.6899214438923049,48,1015.7884197369613,1.839593306504261e-181,True
30min,30,temperature,60,SARIMA_DAILY_DIFFERENCE,350,0.3784074173260786,0.4592790039589303,48,97.34297191931141,3.324322480834389e-05,True
30min,30,temperature,120,SARIMA_DAILY_DIFFERENCE,350,0.7129674873031487,0.6750760331091138,48,356.4150474381625,1.0564890454536647e-48,True
30min,30,temperature,240,SARIMA_DAILY_DIFFERENCE,350,0.8320549963655395,0.7478462368144768,48,636.5642634013948,9.046391794693105e-104,True
30min,30,temperature,480,SARIMA_DAILY_DIFFERENCE,350,0.88072673865371,0.7372802311521262,48,1041.8724154835486,7.135104886134178e-187,True
60min,60,relative_humidity,60,SARIMA_EXACT,211,-0.011896703935507402,0.12801131333674037,24,22.229716280829724,0.565557946938362,False
60min,60,relative_humidity,120,SARIMA_EXACT,211,0.3099442761994494,0.2241393765271324,24,41.88983088752099,0.013276135560562032,True
60min,60,relative_humidity,240,SARIMA_EXACT,211,0.6418100759863098,0.5716700241295906,24,148.01454127326892,7.73815674078162e-20,True
60min,60,relative_humidity,480,SARIMA_EXACT,211,0.8076278177882819,0.7439493277735406,24,346.5750606143831,6.248412189144696e-59,True
