resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
4min,AR_DIRECT_RIDGE,temperature,60,0.01,0.5787324501763129,0.04512520006392151,0.004394800052978098
4min,AR_DIRECT_RIDGE,temperature,60,0.1,0.5528589748313543,0.027339500025846064,0.00442120002117008
4min,AR_DIRECT_RIDGE,temperature,60,1.0,0.530762327736693,0.01874929992482066,0.005038000061176717
4min,AR_DIRECT_RIDGE,temperature,60,10.0,0.5359669881792439,0.013694599969312549,0.004404200008139014
4min,AR_DIRECT_RIDGE,temperature,60,100.0,0.6133374373330046,0.011256000027060509,0.004646199988201261
4min,AR_DIRECT_RIDGE,temperature,120,0.01,0.9196966109895056,0.03418169997166842,0.004229300073347986
4min,AR_DIRECT_RIDGE,temperature,120,0.1,0.8966210045789055,0.023076199926435947,0.0049510999815538526
4min,AR_DIRECT_RIDGE,temperature,120,1.0,0.8602731019882126,0.016789100016467273,0.004298599902540445
4min,AR_DIRECT_RIDGE,temperature,120,10.0,0.8510896584087756,0.014229300082661211,0.0051556999096646905
4min,AR_DIRECT_RIDGE,temperature,120,100.0,0.886066592907713,0.011431499966420233,0.004427400068379939
4min,AR_DIRECT_RIDGE,temperature,240,0.01,1.270962191186605,0.0370033000363037,0.004692300106398761
4min,AR_DIRECT_RIDGE,temperature,240,0.1,1.2380199155004215,0.024150499957613647,0.0040553000289946795
4min,AR_DIRECT_RIDGE,temperature,240,1.0,1.1983377785770135,0.015515699982643127,0.0041377999586984515
4min,AR_DIRECT_RIDGE,temperature,240,10.0,1.166440634760189,0.016161499894224107,0.004990600049495697
4min,AR_DIRECT_RIDGE,temperature,240,100.0,1.1598151763578306,0.009184899972751737,0.00449520000256598
4min,AR_DIRECT_RIDGE,temperature,480,0.01,1.45875124376889,0.029942900058813393,0.004323899978771806
4min,AR_DIRECT_RIDGE,temperature,480,0.1,1.4054085910841814,0.022643800009973347,0.004702799953520298
4min,AR_DIRECT_RIDGE,temperature,480,1.0,1.3568609935698464,0.017160899937152863,0.004240200039930642
4min,AR_DIRECT_RIDGE,temperature,480,10.0,1.3291989006666272,0.011399199953302741,0.004103700048290193
4min,AR_DIRECT_RIDGE,temperature,480,100.0,1.311417005464928,0.009719799971207976,0.004018799983896315
4min,AR_DIRECT_RIDGE,relative_humidity,60,0.01,1.7495393626050824,0.028429599944502115,0.004431799985468388
4min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,1.6565336340479861,0.016920799971558154,0.003938700072467327
4min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,1.5659086358949454,0.01413460006006062,0.003694700077176094
4min,AR_DIRECT_RIDGE,relative_humidity,60,10.0,1.6037671134012499,0.011407700018025935,0.0036962999729439616
4min,AR_DIRECT_RIDGE,relative_humidity,60,100.0,1.9189022857877154,0.009346199920400977,0.003710000077262521
4min,AR_DIRECT_RIDGE,relative_humidity,120,0.01,2.6872651630031097,0.020855700015090406,0.0042279999470338225
4min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,2.617522757765248,0.01846049993764609,0.004182100063189864
4min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,2.5102342912782016,0.014699899940751493,0.005273299990221858
4min,AR_DIRECT_RIDGE,relative_humidity,120,10.0,2.532472020929948,0.013180200010538101,0.006580799934454262
4min,AR_DIRECT_RIDGE,relative_humidity,120,100.0,2.7412069864529,0.01189730002079159,0.005598200019448996
4min,AR_DIRECT_RIDGE,relative_humidity,240,0.01,3.626389157939618,0.02447309996932745,0.004146200022660196
4min,AR_DIRECT_RIDGE,relative_humidity,240,0.1,3.550125021789937,0.018744700006209314,0.004292799974791706
4min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,3.439324026046354,0.014290499966591597,0.0039456000085920095
4min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,3.393275445095907,0.012944200076162815,0.005685299984179437
4min,AR_DIRECT_RIDGE,relative_humidity,240,100.0,3.3978036937395397,0.010177100077271461,0.0035570000763982534
4min,AR_DIRECT_RIDGE,relative_humidity,480,0.01,4.205480449089155,0.02382839994970709,0.003995900042355061
4min,AR_DIRECT_RIDGE,relative_humidity,480,0.1,4.124864944752679,0.020468799979425967,0.006245899945497513
4min,AR_DIRECT_RIDGE,relative_humidity,480,1.0,4.0333645948166135,0.017962199985049665,0.005354399909265339
4min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,3.9894458576201344,0.011359800002537668,0.006180100026540458
4min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,3.9545642739235127,0.009991600061766803,0.003990099998190999
4min,VAR_DIRECT_RIDGE,temperature,60,0.01,0.6975749466201712,0.06436580000445247,0.00916080002207309
4min,VAR_DIRECT_RIDGE,temperature,60,0.1,0.6364267759533354,0.04569900000933558,0.008436999982222915
4min,VAR_DIRECT_RIDGE,temperature,60,1.0,0.586850309284158,0.029157100012525916,0.008500600000843406
4min,VAR_DIRECT_RIDGE,temperature,60,10.0,0.5592904508531146,0.025104900007136166,0.009263900108635426
4min,VAR_DIRECT_RIDGE,temperature,60,100.0,0.5972994708187708,0.023175699985586107,0.01119960006326437
4min,VAR_DIRECT_RIDGE,temperature,120,0.01,1.1271284232332588,0.05416910001076758,0.008533300017006695
4min,VAR_DIRECT_RIDGE,temperature,120,0.1,1.0423799803452305,0.03944650001358241,0.008883400005288422
4min,VAR_DIRECT_RIDGE,temperature,120,1.0,0.9618263038393088,0.028199900058098137,0.008469399996101856
4min,VAR_DIRECT_RIDGE,temperature,120,10.0,0.8917666816348115,0.02394550002645701,0.008500500000081956
4min,VAR_DIRECT_RIDGE,temperature,120,100.0,0.850490942220667,0.02446300000883639,0.012206399929709733
4min,VAR_DIRECT_RIDGE,temperature,240,0.01,1.428391746228965,0.05837420001626015,0.01091039995662868
4min,VAR_DIRECT_RIDGE,temperature,240,0.1,1.3476651104491524,0.038870499935001135,0.00863210007082671
4min,VAR_DIRECT_RIDGE,temperature,240,1.0,1.3056199980168264,0.030281500075943768,0.009912700043059886
4min,VAR_DIRECT_RIDGE,temperature,240,10.0,1.271247603823186,0.027113800053484738,0.00918449996970594
4min,VAR_DIRECT_RIDGE,temperature,240,100.0,1.179885995389255,0.022125400020740926,0.008274299907498062
4min,VAR_DIRECT_RIDGE,temperature,480,0.01,1.8466937893206536,0.051676100003533065,0.01055820006877184
4min,VAR_DIRECT_RIDGE,temperature,480,0.1,1.7500853560365728,0.0391368999844417,0.007232000003568828
4min,VAR_DIRECT_RIDGE,temperature,480,1.0,1.6765710613989369,0.03023049992043525,0.012905900017358363
4min,VAR_DIRECT_RIDGE,temperature,480,10.0,1.5976405103190985,0.023864999995566905,0.008478899952024221
4min,VAR_DIRECT_RIDGE,temperature,480,100.0,1.488147734574472,0.022197699989192188,0.008609000011347234
4min,VAR_DIRECT_RIDGE,relative_humidity,60,0.01,1.9786825286960756,0.05990280001424253,0.008946200017817318
4min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,1.8381904606445132,0.04504500003531575,0.0087193000363186
4min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,1.758418299075956,0.03240529994945973,0.009060399956069887
4min,VAR_DIRECT_RIDGE,relative_humidity,60,10.0,1.780254070342416,0.027819800074212253,0.008672399912029505
4min,VAR_DIRECT_RIDGE,relative_humidity,60,100.0,1.9604280548122686,0.023054599994793534,0.013397000031545758
4min,VAR_DIRECT_RIDGE,relative_humidity,120,0.01,3.280698487623479,0.05762730003334582,0.014252300024963915
4min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,2.993677544020005,0.03924269997514784,0.008455300005152822
4min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,2.8462319018063478,0.027771700057201087,0.008323699934408069
4min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,2.771345897831127,0.023818999994546175,0.008212100015953183
4min,VAR_DIRECT_RIDGE,relative_humidity,120,100.0,2.778985176080612,0.022870799992233515,0.01161719998344779
4min,VAR_DIRECT_RIDGE,relative_humidity,240,0.01,3.9675809973069525,0.04507180000655353,0.0073979999870061874
4min,VAR_DIRECT_RIDGE,relative_humidity,240,0.1,3.7932172951220595,0.0377973000286147,0.008955799974501133
4min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,3.65890310384779,0.027950200019404292,0.008962799911387265
4min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,3.607042749751858,0.025481199962086976,0.008641200023703277
4min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,3.4654640070885243,0.02256780001334846,0.009457000065594912
4min,VAR_DIRECT_RIDGE,relative_humidity,480,0.01,4.686735991710105,0.05538419994991273,0.009151999955065548
4min,VAR_DIRECT_RIDGE,relative_humidity,480,0.1,4.477779317695872,0.04088080010842532,0.009333400055766106
4min,VAR_DIRECT_RIDGE,relative_humidity,480,1.0,4.254794054187788,0.031735300086438656,0.008063399931415915
4min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,4.069071341659572,0.023125599953345954,0.008503600023686886
4min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,3.8999858648095165,0.021399899967946112,0.00849839998409152
12min,AR_DIRECT_RIDGE,temperature,60,0.01,0.8055759938977655,0.0074347000336274505,0.00028819998260587454
12min,AR_DIRECT_RIDGE,temperature,60,0.1,0.7230434644111571,0.004227499943226576,0.00020340003538876772
