resolution,model,target,horizon_minutes,selected_alpha,history_hours,maximum_interpolated_fraction,n_features_flattened,train_samples,validation_samples,test_samples,final_fit_seconds,test_inference_seconds,model_path
4min,AR_DIRECT_RIDGE,temperature,60,1.0,24,0.15,360,1053,1446,2742,0.03961410000920296,0.008937899954617023,models\baselines_statistical\4min\AR_DIRECT_RIDGE\temperature_h60min.joblib
4min,AR_DIRECT_RIDGE,temperature,120,10.0,24,0.15,360,1053,1446,2742,0.03374359989538789,0.00842289999127388,models\baselines_statistical\4min\AR_DIRECT_RIDGE\temperature_h120min.joblib
4min,AR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,360,1053,1446,2742,0.029472999973222613,0.009175100014545023,models\baselines_statistical\4min\AR_DIRECT_RIDGE\temperature_h240min.joblib
4min,AR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,360,1053,1446,2742,0.03403849992901087,0.009388700011186302,models\baselines_statistical\4min\AR_DIRECT_RIDGE\temperature_h480min.joblib
4min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,24,0.15,360,1053,1446,2742,0.038373200106434524,0.008280000067315996,models\baselines_statistical\4min\AR_DIRECT_RIDGE\relative_humidity_h60min.joblib
4min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,24,0.15,360,1053,1446,2742,0.036806700052693486,0.008947999915108085,models\baselines_statistical\4min\AR_DIRECT_RIDGE\relative_humidity_h120min.joblib
4min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,360,1053,1446,2742,0.03195490001235157,0.00794879999011755,models\baselines_statistical\4min\AR_DIRECT_RIDGE\relative_humidity_h240min.joblib
4min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,360,1053,1446,2742,0.025961100007407367,0.008279700065031648,models\baselines_statistical\4min\AR_DIRECT_RIDGE\relative_humidity_h480min.joblib
4min,VAR_DIRECT_RIDGE,temperature,60,10.0,24,0.15,720,1053,1446,2742,0.07098720001522452,0.01990069996099919,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\temperature_h60min.joblib
4min,VAR_DIRECT_RIDGE,temperature,120,100.0,24,0.15,720,1053,1446,2742,0.05344479996711016,0.018891399959102273,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\temperature_h120min.joblib
4min,VAR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,720,1053,1446,2742,0.052337200031615794,0.02147170004900545,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\temperature_h240min.joblib
4min,VAR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,720,1053,1446,2742,0.060305200051516294,0.019679600023664534,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\temperature_h480min.joblib
4min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,24,0.15,720,1053,1446,2742,0.08715239993762225,0.01964159996714443,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\relative_humidity_h60min.joblib
4min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,24,0.15,720,1053,1446,2742,0.07297670003026724,0.016556499991565943,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\relative_humidity_h120min.joblib
4min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,24,0.15,720,1053,1446,2742,0.05376129993237555,0.018556499970145524,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\relative_humidity_h240min.joblib
4min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,720,1053,1446,2742,0.05637609993573278,0.016949300072155893,models\baselines_statistical\4min\VAR_DIRECT_RIDGE\relative_humidity_h480min.joblib
12min,AR_DIRECT_RIDGE,temperature,60,1.0,24,0.15,120,104,135,378,0.003889799932949245,0.0003424000460654497,models\baselines_statistical\12min\AR_DIRECT_RIDGE\temperature_h60min.joblib
12min,AR_DIRECT_RIDGE,temperature,120,0.1,24,0.15,120,104,135,378,0.005343100056052208,0.00029499991796910763,models\baselines_statistical\12min\AR_DIRECT_RIDGE\temperature_h120min.joblib
12min,AR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,120,104,135,378,0.0017139000119641423,0.0003122999332845211,models\baselines_statistical\12min\AR_DIRECT_RIDGE\temperature_h240min.joblib
12min,AR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,120,104,135,378,0.0018339999951422215,0.00031640008091926575,models\baselines_statistical\12min\AR_DIRECT_RIDGE\temperature_h480min.joblib
12min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,120,104,135,378,0.005717799998819828,0.0004952999297529459,models\baselines_statistical\12min\AR_DIRECT_RIDGE\relative_humidity_h60min.joblib
12min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,24,0.15,120,104,135,378,0.005360700073651969,0.0004035000456497073,models\baselines_statistical\12min\AR_DIRECT_RIDGE\relative_humidity_h120min.joblib
12min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,24,0.15,120,104,135,378,0.003756099962629378,0.0005018999800086021,models\baselines_statistical\12min\AR_DIRECT_RIDGE\relative_humidity_h240min.joblib
12min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,120,104,135,378,0.0020713999401777983,0.0005707000382244587,models\baselines_statistical\12min\AR_DIRECT_RIDGE\relative_humidity_h480min.joblib
12min,VAR_DIRECT_RIDGE,temperature,60,1.0,24,0.15,240,104,135,378,0.012151099974289536,0.0008147000335156918,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\temperature_h60min.joblib
12min,VAR_DIRECT_RIDGE,temperature,120,1.0,24,0.15,240,104,135,378,0.009444699971936643,0.0011767999967560172,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\temperature_h120min.joblib
12min,VAR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,240,104,135,378,0.006767399958334863,0.0007429000688716769,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\temperature_h240min.joblib
12min,VAR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,240,104,135,378,0.004296300001442432,0.0005727999377995729,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\temperature_h480min.joblib
12min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,24,0.15,240,104,135,378,0.009969000006094575,0.0012341999681666493,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\relative_humidity_h60min.joblib
12min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,24,0.15,240,104,135,378,0.009165299939922988,0.0010325000621378422,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\relative_humidity_h120min.joblib
12min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,240,104,135,378,0.005939199938438833,0.0004897000035271049,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\relative_humidity_h240min.joblib
12min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,240,104,135,378,0.005044499994255602,0.0010400000028312206,models\baselines_statistical\12min\VAR_DIRECT_RIDGE\relative_humidity_h480min.joblib
20min,AR_DIRECT_RIDGE,temperature,60,0.1,24,0.15,72,146,239,556,0.005899099982343614,0.000560099957510829,models\baselines_statistical\20min\AR_DIRECT_RIDGE\temperature_h60min.joblib
20min,AR_DIRECT_RIDGE,temperature,120,1.0,24,0.15,72,146,239,556,0.0035978000378236175,0.00037100003100931644,models\baselines_statistical\20min\AR_DIRECT_RIDGE\temperature_h120min.joblib
20min,AR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,72,146,239,556,0.0020004999823868275,0.00030319998040795326,models\baselines_statistical\20min\AR_DIRECT_RIDGE\temperature_h240min.joblib
20min,AR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,72,146,239,556,0.0025801999727264047,0.0002834999468177557,models\baselines_statistical\20min\AR_DIRECT_RIDGE\temperature_h480min.joblib
20min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,72,146,239,556,0.00649110006634146,0.00038519990630447865,models\baselines_statistical\20min\AR_DIRECT_RIDGE\relative_humidity_h60min.joblib
20min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,24,0.15,72,146,239,556,0.003205199958756566,0.0005065000150352716,models\baselines_statistical\20min\AR_DIRECT_RIDGE\relative_humidity_h120min.joblib
20min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,72,146,239,556,0.0023459000512957573,0.0003103000344708562,models\baselines_statistical\20min\AR_DIRECT_RIDGE\relative_humidity_h240min.joblib
