resolution,resolution_minutes,model,family,split,target,horizon_minutes,n,mae,rmse,bias,r2,smape_pct,mase
4min,4,PERSISTENCE,reference,validation,temperature,60,1446.0,1.0556512217611802,1.5448129601957084,0.049858229598893467,0.8438435227551687,4.451234086134188,0.9058025853213432
4min,4,SEASONAL_NAIVE_24H,reference,validation,temperature,60,1446.0,1.0926763485477178,1.449562530388629,-0.10733863531581372,0.8625065202576756,5.0034773878406895,0.9375720323449013
4min,4,ROLLING_MEAN_6H,reference,validation,temperature,60,1446.0,3.001897667896112,4.096765756843496,0.21975780569642936,-0.09822281079167894,12.78172344015931,2.5757812925314423
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,temperature,60,1446.0,1.9444287035861743,2.4768388028931914,1.8958724755527947,0.5985756801353881,8.65116416970516,1.6684189914003962
4min,4,PERSISTENCE,reference,validation,temperature,120,1446.0,2.0151141078838175,2.9040372841341076,0.04730636237897649,0.447049129944575,8.510131567162919,1.729070673165583
4min,4,SEASONAL_NAIVE_24H,reference,validation,temperature,120,1446.0,1.1138197325956662,1.468061916568594,-0.07232249884739513,0.8586906445883163,5.064669277463567,0.955714134147353
4min,4,ROLLING_MEAN_6H,reference,validation,temperature,120,1446.0,3.677880993545412,4.862953992010886,0.21720593847651237,-0.5505382761548281,15.760150488542338,3.1558094603440288
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,temperature,120,1446.0,2.0010604466725312,2.54718030404651,1.9591532107738927,0.5745960228388477,8.862579763769851,1.7170119151250478
4min,4,PERSISTENCE,reference,validation,temperature,240,1446.0,3.668679114799447,4.995002989195464,-0.1161998616874135,-0.5246827979155353,15.584341011135242,3.1479137790943037
4min,4,SEASONAL_NAIVE_24H,reference,validation,temperature,240,1446.0,1.1565779160903644,1.5223694494396096,-0.036275933609958434,0.858372328293214,5.203021952752747,0.992402836206094
