resolution,resolution_minutes,architecture,candidate_id,parameters,mean_normalized_rmse,sd_normalized_rmse,mean_rmse,sd_rmse,mean_r2,sd_r2,minimum_r2,median_best_epoch,mean_fit_seconds,mean_inference_seconds,independent_runs
12min,12,GRU,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.6729817983014471,0.07881855139418058,5.343429998730445,0.6184515292986035,0.5162313977877299,0.10773836728585552,0.10239750146865845,57.0,8.169271333337141,0.3156944999936968,3
12min,12,GRU,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.7252058391847407,0.02952375938943321,5.812300137895659,0.20921744448213106,0.44131705164909363,0.06277716432622402,-0.15540361404418945,80.0,9.729523666668683,0.30382899998221546,3
12min,12,LSTM,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.5875516324544369,0.03787614753358948,4.616262298308211,0.3087306539662361,0.6372540667653084,0.055186964966279645,0.24449771642684937,80.0,10.226523766643368,0.287099766661413,3
12min,12,LSTM,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.6905440540855263,0.15391033640423551,5.528562114984507,1.2640908353255949,0.48419448733329773,0.247398597224518,-0.10043847560882568,79.0,9.953473533309685,0.29258096668248373,3
12min,12,MLP,1,"{""dropout"": 0.2, ""hidden_units"": [128, 64], ""learning_rate"": 0.001}",0.5748431602406638,0.001939793004027025,4.702543599306682,0.2932178075109897,0.6411802967389425,0.01573474326801071,0.10161322355270386,29.0,3.1253272333415225,0.10057259995179872,3
12min,12,MLP,2,"{""dropout"": 0.3, ""hidden_units"": [256, 128], ""learning_rate"": 0.0005}",0.6158106689142145,0.08121734830259628,4.952914140660421,0.6708995740927775,0.5953162660201391,0.10741110060044061,0.28735560178756714,26.0,2.7060018667252734,0.09860166666718821,3
12min,12,TCN,1,"{""dense_units"": 32, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""filters"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001}",1.016782913649969,0.05760137468964686,8.19423340038545,0.43849915052300986,-0.08222335577011108,0.13543445837305162,-0.7166473865509033,35.0,6.03428416668127,0.32961009997719276,3
12min,12,TCN,2,"{""dense_units"": 48, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.2, ""filters"": 64, ""kernel_size"": 3, ""learning_rate"": 0.0005}",1.1214412417145605,0.09161512786010986,8.922847030949155,0.656199058866535,-0.31976891805728275,0.24720204448148836,-2.4261913299560547,26.0,5.887485266663134,0.33255670002351206,3
20min,20,GRU,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.546059402445291,0.04610402213190402,4.443346763161588,0.5044731231486665,0.6488319834073385,0.05553536535903412,0.31478869915008545,41.0,6.695069533307105,0.28848033332421136,3
20min,20,GRU,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.5822332005104536,0.07088516024933074,4.805365721968022,0.6101576899702401,0.6032018313805262,0.09116266616265051,0.23062431812286377,43.0,8.621859433323456,0.2974071333495279,3
20min,20,LSTM,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.47333278240815496,0.012287399077118228,3.8752700653394374,0.12511931792780975,0.7452814628680547,0.011605850626039037,0.6469599008560181,61.0,8.376145566658428,0.25239676667843014,3
20min,20,LSTM,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.48008097433327607,0.02446121028158123,3.972524392037526,0.20060827663947,0.7354190026720365,0.021712081082269977,0.6228587627410889,54.0,9.638806133337008,0.26719883336530376,3
20min,20,MLP,1,"{""dropout"": 0.2, ""hidden_units"": [128, 64], ""learning_rate"": 0.001}",0.5561102992701782,0.059177079841004086,4.480773699537221,0.37637423296245814,0.6397633229692777,0.07907362850282244,0.016554951667785645,16.0,2.2093486666756994,0.09350440003133069,3
20min,20,MLP,2,"{""dropout"": 0.3, ""hidden_units"": [256, 128], ""learning_rate"": 0.0005}",0.5373401562426245,0.03177722760585687,4.364464529875642,0.23419421428060613,0.6705789417028427,0.04004523584399074,0.388014018535614,35.0,3.750172433288147,0.10025376663543284,3
20min,20,TCN,1,"{""dense_units"": 32, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""filters"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001}",0.77216049503051,0.2651357261829136,6.320330456004953,2.2233671323429265,0.26409564663966495,0.44824644943475817,-0.5481921434402466,58.0,7.0434121999812005,0.31190316666228074,3
20min,20,TCN,2,"{""dense_units"": 48, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.2, ""filters"": 64, ""kernel_size"": 3, ""learning_rate"": 0.0005}",0.9784559534919058,0.04779115506914,7.984161907876967,0.16785514636044438,-0.10148605952660243,0.13563698190372458,-1.2579431533813477,8.0,4.30660203335962,0.34058456666146714,3
30min,30,GRU,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.4116972511925134,0.02083201550957826,3.613158157208643,0.14972065402513518,0.7671881839632988,0.024743431106742025,0.6409640908241272,80.0,7.552502866679181,0.2664904666210835,3
30min,30,GRU,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.4538301215015197,0.01596022058696013,4.08616515072057,0.16798872865856482,0.718902458747228,0.02247585807670109,0.5308641791343689,80.0,8.102802700013854,0.2813850666861981,3
30min,30,LSTM,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.4086439483610162,0.021980686966924793,3.6400300505201955,0.1665363603971965,0.7746475661794344,0.026788225586656077,0.6094472408294678,79.0,7.984450099989772,0.27067156667665887,3
30min,30,LSTM,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.4060364739634353,0.017886460733206908,3.6332361878817614,0.16450785086456723,0.7785186742742857,0.02067818142150532,0.6930456161499023,80.0,8.620922166621312,0.2636613333597779,3
30min,30,MLP,1,"{""dropout"": 0.2, ""hidden_units"": [128, 64], ""learning_rate"": 0.001}",0.4570021461215759,0.01598899324535322,4.071162164558277,0.16566030346960528,0.7131481195489565,0.02214002082109209,0.40693753957748413,23.0,3.1063811333539584,0.09882389998529106,3
30min,30,MLP,2,"{""dropout"": 0.3, ""hidden_units"": [256, 128], ""learning_rate"": 0.0005}",0.44597711608097584,0.029376981599230943,3.9901335604822266,0.2908303536388437,0.7324189295371374,0.035590910643198734,0.5737138986587524,46.0,4.058373999937127,0.08647059998475015,3
30min,30,TCN,1,"{""dense_units"": 32, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""filters"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001}",0.7271936677547277,0.2172088911297622,6.558162423190499,1.9352441005147507,0.24812170366446176,0.38961102018518357,-0.3305569887161255,21.0,5.630030000039066,0.32753023330587894,3
