target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
temperature,60,135,1.9422311546225517,0.5173836101250919,0.7576471567153931,1.3074017763137817,-0.8288416266441345,12min,12,GRU,SHT_TIME,1,validation,57,3
temperature,120,135,2.7649237826778035,0.7502052051096442,0.49049073457717896,1.7609268426895142,-1.3351606130599976,12min,12,GRU,SHT_TIME,1,validation,57,3
temperature,240,135,3.6901728108369576,0.93697149557268,0.241851806640625,2.4237685203552246,-1.9230190515518188,12min,12,GRU,SHT_TIME,1,validation,57,3
temperature,480,135,2.6424957510662295,0.4414139616596939,0.6076101660728455,2.0275778770446777,-0.6286789774894714,12min,12,GRU,SHT_TIME,1,validation,57,3
relative_humidity,60,135,5.521644657427748,0.48897686564103193,0.7701600790023804,3.745731830596924,2.1945972442626953,12min,12,GRU,SHT_TIME,1,validation,57,3
relative_humidity,120,135,7.948276683274603,0.735769743437702,0.5004228353500366,5.029751300811768,3.6038267612457275,12min,12,GRU,SHT_TIME,1,validation,57,3
relative_humidity,240,135,10.46557496162269,0.9343847406435067,0.29279375076293945,7.157501220703125,4.088802337646484,12min,12,GRU,SHT_TIME,1,validation,57,3
relative_humidity,480,135,6.848011658275342,0.4574751423736625,0.687512993812561,5.369875907897949,0.17058472335338593,12min,12,GRU,SHT_TIME,1,validation,57,3
temperature,60,135,2.0492954066747817,0.5459040512220686,0.7301915884017944,1.4698009490966797,-0.6295996308326721,12min,12,LSTM,SHT_TIME,1,validation,80,3
temperature,120,135,2.258949283998156,0.6129194307456977,0.6599061489105225,1.517149567604065,-0.905102550983429,12min,12,LSTM,SHT_TIME,1,validation,80,3
temperature,240,135,3.102846432386107,0.787843499834842,0.46397972106933594,2.2660772800445557,-1.4810532331466675,12min,12,LSTM,SHT_TIME,1,validation,80,3
temperature,480,135,2.44476585249945,0.40838430103310086,0.6641358137130737,1.937936782836914,-0.9963901042938232,12min,12,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,60,135,5.667438379734352,0.501887829997951,0.7578624486923218,4.3770599365234375,0.7822554111480713,12min,12,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,120,135,6.333916921665191,0.586328913060601,0.6827502250671387,4.4170098304748535,1.8741400241851807,12min,12,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,240,135,8.363909765908861,0.7467444154805146,0.5483119487762451,5.988890647888184,2.604041814804077,12min,12,LSTM,SHT_TIME,1,validation,80,3
relative_humidity,480,135,5.484341439255845,0.3663764032465474,0.7995749711990356,4.134353160858154,0.420074999332428,12min,12,LSTM,SHT_TIME,1,validation,80,3
temperature,60,135,2.144769262783826,0.571336970588384,0.7044659852981567,1.7178337574005127,-0.5086110234260559,12min,12,MLP,SHT_TIME,1,validation,29,3
temperature,120,135,2.1056864949659024,0.5713347249386311,0.7044893503189087,1.5595952272415161,-0.8143784999847412,12min,12,MLP,SHT_TIME,1,validation,29,3
temperature,240,135,1.9383581783553436,0.4921683765040852,0.7908158302307129,1.4625673294067383,-0.8293750286102295,12min,12,MLP,SHT_TIME,1,validation,29,3
temperature,480,135,2.1810758810857442,0.36433638349730535,0.7326804399490356,1.7451410293579102,0.3495813012123108,12min,12,MLP,SHT_TIME,1,validation,29,3
relative_humidity,60,135,6.223577571272373,0.551137503892229,0.7080094814300537,5.348664283752441,-1.5460461378097534,12min,12,MLP,SHT_TIME,1,validation,29,3
relative_humidity,120,135,5.873439825148349,0.5437026773790883,0.7272017002105713,4.3532185554504395,0.6230418086051941,12min,12,MLP,SHT_TIME,1,validation,29,3
relative_humidity,240,135,6.717058971423873,0.5997107113480453,0.7086746692657471,5.303562164306641,1.0167399644851685,12min,12,MLP,SHT_TIME,1,validation,29,3
relative_humidity,480,135,6.211313987213487,0.41494113801547505,0.7429190278053284,4.842616081237793,-2.8305022716522217,12min,12,MLP,SHT_TIME,1,validation,29,3
temperature,60,135,3.7206449409000473,0.9911285311920689,0.11062932014465332,3.1023268699645996,-0.1384979784488678,12min,12,TCN,SHT_TIME,1,validation,35,3
temperature,120,135,3.833345675794109,1.040099512681722,0.02064138650894165,3.103837490081787,-0.25784462690353394,12min,12,TCN,SHT_TIME,1,validation,35,3
