resolution,resolution_minutes,model,feature_set,candidate_id,parameters,fit_seconds,inference_seconds,mean_normalized_rmse,mean_rmse,mean_r2,minimum_r2
4min,4,RANDOM_FOREST,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 140}",0.12448769994080067,0.02803060004953295,0.34303042365444647,3.002859718450056,0.8436277447407421,0.7514296388876586
4min,4,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.3396145000588149,0.04063599999062717,0.3347922381203799,2.891925629820224,0.8559840722658951,0.7831529795530334
4min,4,EXTRA_TREES,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.09127289999742061,0.04098570009227842,0.3565624063178944,3.1341274976871403,0.8286155330711984,0.7070651377028744
4min,4,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.1395403000060469,0.05208389996550977,0.3169529259479296,2.752507787479608,0.870384415087498,0.812681147260238
4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",4.312194099999033,2.9352223000023514,0.3367397150656316,2.8478893311704714,0.8437809763139759,0.654775898526037
4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,2,"{""l2_regularization"": 0.2, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 63}",3.407287299982272,0.25268210005015135,0.33790519752725634,2.857464633567541,0.8427249790200837,0.6590437936598595
4min,4,XGBOOST,SHT_TIME,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 180, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.79767100000754,0.07774839992634952,0.32917238226922596,2.807288107712676,0.8572013877057887,0.7508246175947849
4min,4,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",1.869235199992545,0.06979610002599657,0.3251547680301171,2.767701512926549,0.860684538139201,0.7520513306260999
12min,12,RANDOM_FOREST,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 140}",0.11525829997844994,0.02767780004069209,0.5010829537935605,4.110225954971118,0.7332094933310394,0.6154626330966771
12min,12,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.13312140002381057,0.02844809996895492,0.4725722976989116,3.8525728785811895,0.7661605771862857,0.6950542927713398
12min,12,EXTRA_TREES,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.07945710001513362,0.03137950005475432,0.502897607972169,4.157572163001156,0.7275493014185854,0.6089521193696508
12min,12,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.13372920011170208,0.042939400067552924,0.4887556536622444,3.941244914501974,0.7500598448121495,0.6975466248475986
12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.12399820005521178,0.11357259994838387,0.5018453090123884,4.1022559471967615,0.7306108876274418,0.638461548861186
12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,2,"{""l2_regularization"": 0.2, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 63}",0.1490623999852687,0.15810749994125217,0.5065508673761726,4.150272020285165,0.7238724066207961,0.6272700356964478
12min,12,XGBOOST,SHT_TIME,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 180, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.25521350000053644,0.03566319996025413,0.494372706181863,3.9981719371512843,0.7261742703750647,0.4434492904678875
12min,12,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.4232180999824777,0.043491900083608925,0.4890599572622866,3.946445186691055,0.734887383165255,0.42994337758100787
20min,20,RANDOM_FOREST,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 140}",0.11498579999897629,0.027732299990020692,0.40644510451490734,3.464339882828064,0.7972184698871436,0.6711353315705699
20min,20,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.12633400002960116,0.027423599967733026,0.4198729738982988,3.4710696351014865,0.7891137442825444,0.690731231790623
20min,20,EXTRA_TREES,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.07725349999964237,0.028139199945144355,0.388384451978812,3.3235738368913084,0.8125857364596025,0.7108256700728186
20min,20,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.10661690006963909,0.03914260002784431,0.368347529547839,3.086471439185547,0.8378498248735322,0.7667381152341228
20min,20,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.13191170000936836,0.11706700001377612,0.41819884952914377,3.463803928100947,0.7809394917119858,0.6283427623146007
