target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
temperature,60,1446,1.038267554342098,0.23972648633233787,0.8149648465887885,0.18432834014168656,0.929461412360339,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
temperature,120,1446,1.4033953340710836,0.3283004129948321,1.037323332344139,0.3175324876394346,0.8708655174584146,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
temperature,240,1446,1.8837476859551385,0.41266694047725855,1.2863836554078119,0.5059516305105476,0.7831529795530334,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
temperature,480,1446,1.8747701899715083,0.33609110631127376,1.3330341641581296,0.6515661357786026,0.7967595319317933,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
relative_humidity,60,1446,2.9338534596430423,0.24752223126122208,2.2184856686443024,0.1592681709669809,0.9348073494075243,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
relative_humidity,120,1446,3.9417889854696955,0.3385801893948888,2.893160479665756,-0.16191544383520967,0.8815437167483294,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
relative_humidity,240,1446,5.168341207198924,0.4260059238563573,3.5349109447044045,-0.588631818019656,0.8116170962831608,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
relative_humidity,480,1446,4.891240621910302,0.3494446143348684,3.601646014088974,-0.8079748560154486,0.8396649743845654,4min,4,RANDOM_FOREST,SHT_TIME,2,validation,0.3396145000588149,0.04063599999062717
temperature,60,2742,0.9781476811142495,0.23728263917909237,0.7341981663270977,-0.23325693482509202,0.9460348144664805,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
temperature,120,2742,1.17083851012489,0.2866216434804705,0.8619933340812787,-0.26035349896734916,0.9236128879031114,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
