resolution,variable,n_bins,n_valid,coverage_pct,mean_base_coverage
4min,temperature,54168,53402,98.58588096293013,0.9858588096293014
4min,relative_humidity,54168,53402,98.58588096293013,0.9858588096293014
4min,temperature_bme280,54168,53402,98.58588096293013,0.9858588096293014
4min,relative_humidity_bme280,54168,38747,71.53116230985084,0.7153116230985084
4min,pressure,54168,53402,98.58588096293013,0.9858588096293014
4min,dew_point_c,54168,53402,98.58588096293013,0.9858588096293014
4min,vpd_kpa,54168,53402,98.58588096293013,0.9858588096293014
4min,absolute_humidity_g_m3,54168,53402,98.58588096293013,0.9858588096293014
12min,temperature,18056,17868,98.95879486043421,0.9858588096293013
12min,relative_humidity,18056,17868,98.95879486043421,0.9858588096293013
12min,temperature_bme280,18056,17868,98.95879486043421,0.9858588096293013
12min,relative_humidity_bme280,18056,15905,88.08706247230838,0.7153116230985083
12min,pressure,18056,17868,98.95879486043421,0.9858588096293013
12min,dew_point_c,18056,17868,98.95879486043421,0.9858588096293013
12min,vpd_kpa,18056,17868,98.95879486043421,0.9858588096293013
12min,absolute_humidity_g_m3,18056,17868,98.95879486043421,0.9858588096293013
20min,temperature,10834,10757,99.28927450618423,0.9858593317334318
20min,relative_humidity,10834,10757,99.28927450618423,0.9858593317334318
20min,temperature_bme280,10834,10757,99.28927450618423,0.9858593317334318
20min,relative_humidity_bme280,10834,9663,89.19143437326935,0.7153221340225216
20min,pressure,10834,10757,99.28927450618423,0.9858593317334318
20min,dew_point_c,10834,10757,99.28927450618423,0.9858593317334318
20min,vpd_kpa,10834,10757,99.28927450618423,0.9858593317334318
20min,absolute_humidity_g_m3,10834,10757,99.28927450618423,0.9858593317334318
30min,temperature,7223,7182,99.43236882181918,0.9859254168232433
30min,relative_humidity,7223,7182,99.43236882181918,0.9859254168232433
30min,temperature_bme280,7223,7182,99.43236882181918,0.9859254168232433
30min,relative_humidity_bme280,7223,6467,89.53343486086114,0.7153611479203339
30min,pressure,7223,7182,99.43236882181918,0.9859254168232433
30min,dew_point_c,7223,7182,99.43236882181918,0.9859254168232433
30min,vpd_kpa,7223,7182,99.43236882181918,0.9859254168232433
30min,absolute_humidity_g_m3,7223,7182,99.43236882181918,0.9859254168232433
60min,temperature,3612,3593,99.47397563676633,0.9858619416758951
60min,relative_humidity,3612,3593,99.47397563676633,0.9858619416758951
60min,temperature_bme280,3612,3593,99.47397563676633,0.9858619416758951
60min,relative_humidity_bme280,3612,3259,90.22702104097453,0.715374677002584
60min,pressure,3612,3593,99.47397563676633,0.9858619416758951
60min,dew_point_c,3612,3593,99.47397563676633,0.9858619416758951
60min,vpd_kpa,3612,3593,99.47397563676633,0.9858619416758951
60min,absolute_humidity_g_m3,3612,3593,99.47397563676633,0.9858619416758951
