resolution,resolution_minutes,history_hours,history_steps,horizon_60_steps,horizon_120_steps,horizon_240_steps,horizon_480_steps
4min,4,6,90,15,30,60,120
4min,4,12,180,15,30,60,120
4min,4,24,360,15,30,60,120
4min,4,48,720,15,30,60,120
12min,12,6,30,5,10,20,40
12min,12,12,60,5,10,20,40
12min,12,24,120,5,10,20,40
12min,12,48,240,5,10,20,40
20min,20,6,18,3,6,12,24
20min,20,12,36,3,6,12,24
20min,20,24,72,3,6,12,24
20min,20,48,144,3,6,12,24
30min,30,6,12,2,4,8,16
30min,30,12,24,2,4,8,16
30min,30,24,48,2,4,8,16
30min,30,48,96,2,4,8,16
60min,60,6,6,1,2,4,8
60min,60,12,12,1,2,4,8
60min,60,24,24,1,2,4,8
60min,60,48,48,1,2,4,8
