resolution,feature_set,history_hours,history_steps,n_features,features,n_samples,file,sha256
4min,SHT_BASE,6,90,2,temperature | relative_humidity,676,data\processed\sample_indices\4min\SHT_BASE\indices_4min_SHT_BASE_hist_06h.csv,60805ba4d19238b364bb3851461af7887e4c3b39bbd52f3c00e95d635a75b647
4min,SHT_BASE,12,180,2,temperature | relative_humidity,559,data\processed\sample_indices\4min\SHT_BASE\indices_4min_SHT_BASE_hist_12h.csv,f505e91d0aab9a5ac77568e227b7fae2a4743bf51c622762f0acca2d423dc95f
4min,SHT_BASE,24,360,2,temperature | relative_humidity,182,data\processed\sample_indices\4min\SHT_BASE\indices_4min_SHT_BASE_hist_24h.csv,d927342c747f3960019dc244e47bd458eaf6d5889b094d11c81f197dcb1f0ab4
4min,SHT_BASE,48,720,2,temperature | relative_humidity,0,data\processed\sample_indices\4min\SHT_BASE\indices_4min_SHT_BASE_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
4min,SHT_TIME,6,90,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,676,data\processed\sample_indices\4min\SHT_TIME\indices_4min_SHT_TIME_hist_06h.csv,70d9126718202459a956c25262d5bb755fee2b51e0739422992df98ad72c32d4
4min,SHT_TIME,12,180,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,559,data\processed\sample_indices\4min\SHT_TIME\indices_4min_SHT_TIME_hist_12h.csv,28f376bc4a220b04081b9e180b5bfb6da7f0bd59a9efec60d5ab6a403474ca3e
4min,SHT_TIME,24,360,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,182,data\processed\sample_indices\4min\SHT_TIME\indices_4min_SHT_TIME_hist_24h.csv,87289c9d824d16a5f775745afd9a5835df1434c361db17939d9fd88a1af8d5ac
4min,SHT_TIME,48,720,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_TIME\indices_4min_SHT_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
4min,SHT_AUX_TIME,6,90,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,676,data\processed\sample_indices\4min\SHT_AUX_TIME\indices_4min_SHT_AUX_TIME_hist_06h.csv,3294a34e02e275c9de770a9d11c2601f23e591dc4b5a7445431e26ff0622575a
4min,SHT_AUX_TIME,12,180,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,559,data\processed\sample_indices\4min\SHT_AUX_TIME\indices_4min_SHT_AUX_TIME_hist_12h.csv,c58ad3f549af45c537b7b7afaf3240d58a6a4760c3dee32c130e108f9c232d3c
4min,SHT_AUX_TIME,24,360,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,182,data\processed\sample_indices\4min\SHT_AUX_TIME\indices_4min_SHT_AUX_TIME_hist_24h.csv,ba577eee40a0d7768ef232ee695a10eba3488e336123e1529aa0fecc0b62fcab
4min,SHT_AUX_TIME,48,720,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_AUX_TIME\indices_4min_SHT_AUX_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
4min,SHT_MULTISENSOR_TIME,6,90,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_MULTISENSOR_TIME\indices_4min_SHT_MULTISENSOR_TIME_hist_06h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
