resolution,feature_set,history_hours,history_steps,total_rows,enough_context,history_complete_after_context,interpolation_ok_after_history,same_split_history,targets_valid,same_split_targets,valid_samples
4min,SHT_BASE,6,90,54168,53959,45649,948,948,676,676,676
4min,SHT_BASE,12,180,54168,53869,39761,778,778,559,559,559
4min,SHT_BASE,24,360,54168,53689,30604,272,272,182,182,182
4min,SHT_BASE,48,720,54168,53329,19113,0,0,0,0,0
4min,SHT_TIME,6,90,54168,53959,45649,948,948,676,676,676
4min,SHT_TIME,12,180,54168,53869,39761,778,778,559,559,559
4min,SHT_TIME,24,360,54168,53689,30604,272,272,182,182,182
4min,SHT_TIME,48,720,54168,53329,19113,0,0,0,0,0
4min,SHT_AUX_TIME,6,90,54168,53959,45649,948,948,676,676,676
4min,SHT_AUX_TIME,12,180,54168,53869,39761,778,778,559,559,559
4min,SHT_AUX_TIME,24,360,54168,53689,30604,272,272,182,182,182
4min,SHT_AUX_TIME,48,720,54168,53329,19113,0,0,0,0,0
4min,SHT_MULTISENSOR_TIME,6,90,54168,53959,0,0,0,0,0,0
4min,SHT_MULTISENSOR_TIME,12,180,54168,53869,0,0,0,0,0,0
4min,SHT_MULTISENSOR_TIME,24,360,54168,53689,0,0,0,0,0,0
4min,SHT_MULTISENSOR_TIME,48,720,54168,53329,0,0,0,0,0,0
12min,SHT_BASE,6,30,18056,17987,15216,314,314,124,124,124
12min,SHT_BASE,12,60,18056,17957,13253,258,258,98,98,98
12min,SHT_BASE,24,120,18056,17897,10200,91,91,32,32,32
12min,SHT_BASE,48,240,18056,17777,6369,0,0,0,0,0
12min,SHT_TIME,6,30,18056,17987,15216,314,314,124,124,124
12min,SHT_TIME,12,60,18056,17957,13253,258,258,98,98,98
12min,SHT_TIME,24,120,18056,17897,10200,91,91,32,32,32
12min,SHT_TIME,48,240,18056,17777,6369,0,0,0,0,0
12min,SHT_AUX_TIME,6,30,18056,17987,15216,314,314,124,124,124
12min,SHT_AUX_TIME,12,60,18056,17957,13253,258,258,98,98,98
12min,SHT_AUX_TIME,24,120,18056,17897,10200,91,91,32,32,32
12min,SHT_AUX_TIME,48,240,18056,17777,6369,0,0,0,0,0
12min,SHT_MULTISENSOR_TIME,6,30,18056,17987,0,0,0,0,0,0
