resolution,feature_set,history_hours,split,n_samples
4min,SHT_BASE,6,train,304
4min,SHT_BASE,6,validation,20
4min,SHT_BASE,6,test,352
4min,SHT_BASE,12,train,325
4min,SHT_BASE,12,validation,0
4min,SHT_BASE,12,test,234
4min,SHT_BASE,24,train,182
4min,SHT_BASE,24,validation,0
4min,SHT_BASE,24,test,0
4min,SHT_BASE,48,train,0
4min,SHT_BASE,48,validation,0
4min,SHT_BASE,48,test,0
4min,SHT_TIME,6,train,304
4min,SHT_TIME,6,validation,20
4min,SHT_TIME,6,test,352
4min,SHT_TIME,12,train,325
4min,SHT_TIME,12,validation,0
4min,SHT_TIME,12,test,234
4min,SHT_TIME,24,train,182
4min,SHT_TIME,24,validation,0
4min,SHT_TIME,24,test,0
4min,SHT_TIME,48,train,0
4min,SHT_TIME,48,validation,0
4min,SHT_TIME,48,test,0
4min,SHT_AUX_TIME,6,train,304
4min,SHT_AUX_TIME,6,validation,20
4min,SHT_AUX_TIME,6,test,352
4min,SHT_AUX_TIME,12,train,325
4min,SHT_AUX_TIME,12,validation,0
4min,SHT_AUX_TIME,12,test,234
4min,SHT_AUX_TIME,24,train,182
4min,SHT_AUX_TIME,24,validation,0
4min,SHT_AUX_TIME,24,test,0
4min,SHT_AUX_TIME,48,train,0
4min,SHT_AUX_TIME,48,validation,0
4min,SHT_AUX_TIME,48,test,0
4min,SHT_MULTISENSOR_TIME,6,train,0
4min,SHT_MULTISENSOR_TIME,6,validation,0
4min,SHT_MULTISENSOR_TIME,6,test,0
4min,SHT_MULTISENSOR_TIME,12,train,0
4min,SHT_MULTISENSOR_TIME,12,validation,0
4min,SHT_MULTISENSOR_TIME,12,test,0
4min,SHT_MULTISENSOR_TIME,24,train,0
4min,SHT_MULTISENSOR_TIME,24,validation,0
4min,SHT_MULTISENSOR_TIME,24,test,0
4min,SHT_MULTISENSOR_TIME,48,train,0
4min,SHT_MULTISENSOR_TIME,48,validation,0
4min,SHT_MULTISENSOR_TIME,48,test,0
12min,SHT_BASE,6,train,64
12min,SHT_BASE,6,validation,1
12min,SHT_BASE,6,test,59
12min,SHT_BASE,12,train,65
12min,SHT_BASE,12,validation,0
12min,SHT_BASE,12,test,33
12min,SHT_BASE,24,train,32
12min,SHT_BASE,24,validation,0
12min,SHT_BASE,24,test,0
12min,SHT_BASE,48,train,0
12min,SHT_BASE,48,validation,0
12min,SHT_BASE,48,test,0
12min,SHT_TIME,6,train,64
12min,SHT_TIME,6,validation,1
12min,SHT_TIME,6,test,59
12min,SHT_TIME,12,train,65
12min,SHT_TIME,12,validation,0
12min,SHT_TIME,12,test,33
12min,SHT_TIME,24,train,32
12min,SHT_TIME,24,validation,0
12min,SHT_TIME,24,test,0
12min,SHT_TIME,48,train,0
12min,SHT_TIME,48,validation,0
12min,SHT_TIME,48,test,0
12min,SHT_AUX_TIME,6,train,64
12min,SHT_AUX_TIME,6,validation,1
12min,SHT_AUX_TIME,6,test,59
12min,SHT_AUX_TIME,12,train,65
12min,SHT_AUX_TIME,12,validation,0
12min,SHT_AUX_TIME,12,test,33
12min,SHT_AUX_TIME,24,train,32
12min,SHT_AUX_TIME,24,validation,0
12min,SHT_AUX_TIME,24,test,0
12min,SHT_AUX_TIME,48,train,0
12min,SHT_AUX_TIME,48,validation,0
12min,SHT_AUX_TIME,48,test,0
12min,SHT_MULTISENSOR_TIME,6,train,0
12min,SHT_MULTISENSOR_TIME,6,validation,0
12min,SHT_MULTISENSOR_TIME,6,test,0
12min,SHT_MULTISENSOR_TIME,12,train,0
12min,SHT_MULTISENSOR_TIME,12,validation,0
12min,SHT_MULTISENSOR_TIME,12,test,0
12min,SHT_MULTISENSOR_TIME,24,train,0
12min,SHT_MULTISENSOR_TIME,24,validation,0
12min,SHT_MULTISENSOR_TIME,24,test,0
12min,SHT_MULTISENSOR_TIME,48,train,0
12min,SHT_MULTISENSOR_TIME,48,validation,0
12min,SHT_MULTISENSOR_TIME,48,test,0
20min,SHT_BASE,6,train,65
20min,SHT_BASE,6,validation,5
20min,SHT_BASE,6,test,79
20min,SHT_BASE,12,train,70
20min,SHT_BASE,12,validation,0
