resolution,target,fold_id,fit_end_index,fit_end_timestamp,n_origins,parameters,aic,bic,fit_seconds
4min,relative_humidity,1,14590,2026-05-01 12:40:00,198,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",28550.282624157677,28580.535336008412,0.3968905999790877
4min,relative_humidity,2,21901,2026-05-21 20:04:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",43075.16108762294,43107.072126810584,0.5834371999371797
4min,relative_humidity,3,24931,2026-05-30 06:04:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",48389.45418891031,48421.89164035945,0.6355248999316245
4min,relative_humidity,4,35141,2026-06-27 14:44:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",64140.81292164123,64174.6403428035,0.9128730000229552
4min,temperature,1,14590,2026-05-01 12:40:00,198,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",-162.12394010888306,-131.87122825814842,0.46017939993180335
4min,temperature,2,21901,2026-05-21 20:04:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",-2186.6180706005707,-2154.707031412928,0.7451005999464542
4min,temperature,3,24931,2026-05-30 06:04:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",-3859.641159373883,-3827.203707924748,0.8575798000674695
4min,temperature,4,35141,2026-06-27 14:44:00,197,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",-12315.598768649481,-12281.771347487209,1.420533400028944
12min,relative_humidity,1,4856,2026-05-01 11:12:00,20,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",14337.023153815524,14362.87579102722,0.23948969994671643
12min,relative_humidity,2,7161,2026-05-20 16:12:00,20,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",21600.82929774314,21628.267887742,0.27786799997556955
12min,relative_humidity,3,8257,2026-05-29 19:24:00,19,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",24822.90466205005,24850.921860964296,0.4197544000344351
12min,relative_humidity,4,8308,2026-05-30 05:36:00,19,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",24932.47164195774,24960.513830234824,0.45091260003391653
12min,temperature,1,4856,2026-05-01 11:12:00,20,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",5843.127958545301,5868.980595756996,0.5635444999206811
