resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds
4min,4,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2818539790454026,1.3740158320667595,0.8754112164530794,0.8185234937980392,5.370746599975973,1.7544964000117034
4min,4,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.28509197018115495,1.3898007824857097,0.8722594379147125,0.8036122691184688,6.129734899965115,2.0108510000864044
4min,4,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2822966180669504,1.3761736622508751,0.875164107855108,0.8111793333851834,5.269092199974693,0.11583390005398542
4min,4,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.26768918938678526,1.3049636039777581,0.8895962745230612,0.8379984442380792,0.3738175999606028,0.04145809996407479
4min,4,temperature,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2745928862454171,1.3386185795636154,0.8842140423686496,0.8319175742571655,0.3474260000512004,0.051057999953627586
4min,4,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.27777855199812757,1.354148447883097,0.8811938647307211,0.8243594575052027,0.34705350000876933,0.05253830004949123
4min,4,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.28359305223074843,1.3824936761542579,0.8761305860548153,0.8311446639908604,2.2618751999689266,0.053972800029441714
4min,4,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.2786382573412606,1.358339443363728,0.879847112669443,0.8175402095023061,4.1093851999612525,0.06410479999613017
4min,4,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.27559332169071094,1.343495623149979,0.8833507113864525,0.8298426703936786,1.097616899991408,0.02245229994878173
4min,4,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.33296371321312035,1.6231717395228513,0.8292514628612287,0.7660702616884413,0.9071652001002803,0.039445299888029695
4min,4,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.34520030108155964,1.6828241365500485,0.8155381825555748,0.7514885870576793,1.1616429999703541,0.03921790001913905
4min,4,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.34923807247384825,1.7025079523970372,0.8104758203116036,0.7482448962913135,1.2558947999496013,0.051252700039185584
4min,4,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2831480505998908,3.705688881055824,0.8978258957074127,0.8557859075703046,2.8780213999561965,0.10244789998978376
4min,4,relative_humidity,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.28623293291751223,3.746062156024718,0.8955833933998931,0.8516066553345842,4.374641999951564,0.1359017000067979
4min,4,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2829736747646084,3.7034067442282463,0.8980474733452759,0.8578263794941237,3.009711900027469,0.10718990000896156
4min,4,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.26995432819858145,3.5330165624624783,0.9061612657341781,0.8508536931823333,0.3695076999720186,0.04131210001651198
4min,4,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2730605602005183,3.573669250578006,0.9041588022236597,0.849820504426725,0.3584240999771282,0.05012299993541092
4min,4,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2763640762132625,3.6169038853596334,0.9017275937969598,0.843062869646251,0.29359000001568347,0.05080409999936819
4min,4,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.2801008866060517,3.665809243153321,0.9002906084575534,0.8626266473862884,2.471234100055881,0.022809699992649257
4min,4,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.27581297173366415,3.6096913273426487,0.9028335472122374,0.8589171103985506,3.974093799944967,0.03339960006996989
4min,4,relative_humidity,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.27807287703489303,3.639267748332518,0.9016564842926859,0.8641172486964267,1.1200455999933183,0.023258800036273897
4min,4,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2869775183541152,3.755806888392007,0.8938739880992718,0.8337553830719363,1.0044594999635592,0.03911320003680885
4min,4,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2886225279676327,3.777335886459013,0.892628759206904,0.8328758691233602,1.5177934999810532,0.04013500001747161
