resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds,selection_rule
4min,4,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2818539790454026,1.3740158320667595,0.8754112164530794,0.8185234937980392,5.370746599975973,1.7544964000117034,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.26768918938678526,1.3049636039777581,0.8895962745230612,0.8379984442380792,0.3738175999606028,0.04145809996407479,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.27559332169071094,1.343495623149979,0.8833507113864525,0.8298426703936786,1.097616899991408,0.02245229994878173,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.33296371321312035,1.6231717395228513,0.8292514628612287,0.7660702616884413,0.9071652001002803,0.039445299888029695,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2829736747646084,3.7034067442282463,0.8980474733452759,0.8578263794941237,3.009711900027469,0.10718990000896156,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.26995432819858145,3.5330165624624783,0.9061612657341781,0.8508536931823333,0.3695076999720186,0.04131210001651198,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.27581297173366415,3.6096913273426487,0.9028335472122374,0.8589171103985506,3.974093799944967,0.03339960006996989,lowest mean validation NRMSE; mean validation R2 secondary
4min,4,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2869775183541152,3.755806888392007,0.8938739880992718,0.8337553830719363,1.0044594999635592,0.03911320003680885,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.2680117292977944,1.306279150954492,0.893692717772695,0.8395577764100246,0.31502820004243404,0.10025419993326068,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2755221392442726,1.3428846083123107,0.885142231161973,0.7983384344911937,0.15328009997028857,0.038121100049465895,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.29355889128895873,1.430795063607087,0.8663861033442934,0.7590620460891662,0.6816480000270531,0.02218540001194924,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.2842341990926105,1.38534686237697,0.8756026012717638,0.7650753119875127,0.21482720004860312,0.03847769997082651,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.30898725508123553,4.042986012635316,0.880702893577112,0.8316644676416656,0.17942539998330176,0.08349740004632622,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.28734552245966455,3.759811801274394,0.8946704543267114,0.8186533012020469,0.1602935999399051,0.04031850001774728,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.3120075697321922,4.082505732904569,0.8734881030009235,0.7619627696187189,0.6195733000058681,0.023262999951839447,lowest mean validation NRMSE; mean validation R2 secondary
12min,12,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28922857121180723,3.7844508102976673,0.8924888869259601,0.8063252786737886,0.22631219995673746,0.04011139995418489,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2698007987090992,1.3131443156920615,0.8818648637885401,0.7962366261409329,0.3195730000734329,0.0752061998937279,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2630431103233205,1.2802540494902503,0.8876389881194007,0.8180610809020064,0.1517974000889808,0.03917420003563166,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.26558904121648025,1.2926453199998018,0.884584479206705,0.7886340138974077,0.5972690999042243,0.023129999986849725,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2510800934842127,1.2220289899798056,0.8981807684473293,0.8414158652789081,0.21233210002537817,0.051213899976573884,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.3201565710998452,4.184861395506338,0.865904006037832,0.7792842137333079,0.489373299991712,0.1374498000368476,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2750489910522751,3.5952468524179255,0.902095714442965,0.8588466624511131,0.14014409994706511,0.03852049994748086,lowest mean validation NRMSE; mean validation R2 secondary
