resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,window_id,n,base_rmse,hybrid_rmse,gain_pct
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,1,75,0.5743036240036905,0.5138437558135702,10.527509432838224
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,2,75,0.9614633651699894,0.9556360855387428,0.6060844169779
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,3,75,0.6393511511289145,0.631314335230693,1.2570268910958733
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,4,75,0.8913555432225028,0.8188181585176626,8.137873293814607
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.5,1,75,0.5743036240036905,0.4920212348341298,14.327332395351899
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.5,2,75,0.9614633651699894,0.9673992262877839,-0.6173777735925435
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.5,3,75,0.6393511511289145,0.6402915014852747,-0.14707885560224662
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.5,4,75,0.8913555432225028,0.7806045231297719,12.425010528608432
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.75,1,75,0.5743036240036905,0.5137831477978727,10.538062738296231
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.75,2,75,0.9614633651699894,0.9961298146723522,-3.6055923458127417
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.75,3,75,0.6393511511289145,0.6655945804086412,-4.104697275259166
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.75,4,75,0.8913555432225028,0.7817643115867412,12.29489539489015
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,1.0,1,75,0.5743036240036905,0.5741951651562051,0.01888528000734881
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,1.0,2,75,0.9614633651699894,1.0404231648491529,-8.212460561635973
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,1.0,3,75,0.6393511511289145,0.7054690678215694,-10.341408876156587
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,1.0,4,75,0.8913555432225028,0.8221309073002625,7.766220387430766
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,1,75,0.8169659567644346,0.8119410454958788,0.6150698480089491
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,2,75,1.392868233346371,1.3719224537696972,1.5037875855888794
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,3,75,0.9767945359905243,0.9674939434764661,0.9521544369233101
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,4,75,1.2524630736055375,1.1541375570672159,7.850572093536166
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.5,1,75,0.8169659567644346,0.8499892926677888,-4.0421924108247955
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.5,2,75,1.392868233346371,1.3715310139437278,1.5318907339411838
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.5,3,75,0.9767945359905243,0.9988556784770706,-2.2585243542722107
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.5,4,75,1.2524630736055375,1.09038583265379,12.94068019787333
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.75,1,75,0.8169659567644346,0.9258153073798623,-13.3236091068619
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.75,2,75,1.392868233346371,1.3917112576326933,0.08306426164219063
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.75,3,75,0.9767945359905243,1.0673012568284919,-9.265686641683414
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.75,4,75,1.2524630736055375,1.067420742257938,14.774274407540615
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,1.0,1,75,0.8169659567644346,1.0311182369388514,-26.213121660853467
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,1.0,2,75,1.392868233346371,1.431593492019873,-2.7802528441950516
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,1.0,3,75,0.9767945359905243,1.166320046071838,-19.402802032376655
