resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,n_windows,minimum_window_n,mean_gain_pct,median_gain_pct,worst_window_gain_pct,best_window_gain_pct,gain_std_pct,gain_q25_pct,gain_q75_pct,positive_windows,positive_window_fraction,gain_iqr_pct,worst_loss_magnitude_pct,robust_score,passes_window_count,passes_sample_count,passes_positive_fraction,passes_median_gain,passes_worst_window,eligible
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,4,75,5.1321235086816515,4.69745009245524,0.6060844169779,10.527509432838224,4.290866016804444,1.09429127256638,8.735282328570511,4,1.0,7.640991056004131,0.0,0.8769545644531744,True,True,True,True,True,True
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.5,4,75,6.4969715736913844,6.138965836503092,-0.6173777735925435,14.327332395351899,6.913999732257119,-0.26465358509982084,12.900590995294298,2,0.5,13.165244580394118,0.6173777735925435,-0.5980008970921026,True,True,False,True,True,False
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.75,4,75,3.780667128028618,3.466235196241745,-4.104697275259166,12.29489539489015,7.6630653005412475,-3.730368578174348,10.977270902444712,2,0.5,14.70763948061906,4.104697275259166,-4.913758862882577,True,True,False,True,False,False
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,1.0,4,75,-2.692190942588611,-4.096787640814313,-10.341408876156587,7.766220387430766,7.171335536265161,-8.744697640266127,1.9557190568632032,2,0.5,10.70041669712933,10.341408876156587,-12.032348208418124,True,True,False,False,False,False
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,4,75,2.7303959910143263,1.2279710112560949,0.6150698480089491,7.850572093536166,2.9731094504354414,0.86788328969472,3.090483712575701,4,1.0,2.222600422880981,0.0,0.11667079981560446,True,True,True,True,True,True
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.5,4,75,2.042963541679377,-0.3633168101655134,-4.0421924108247955,12.94068019787333,6.605931895251636,-2.704441368410357,4.38408809992422,2,0.5,7.088529468334578,4.0421924108247955,-4.9181296470390015,True,True,False,False,False,False
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.75,4,75,-1.9329892698406277,-4.591311190020612,-13.3236091068619,14.774274407540615,10.801756829862441,-10.280167257978036,3.755866798116797,2,0.5,14.036034056094833,13.3236091068619,-14.940230494783505,True,True,False,False,False,False
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,1.0,4,75,-8.812827888208982,-11.091527438285853,-26.213121660853467,13.14486498458925,15.276207102110329,-21.105381939495857,1.2010266130010239,1,0.25,22.30640855249688,26.213121660853467,-28.79801212974766,True,True,False,False,False,False
4min,4,temperature,240,HIST_GRADIENT_BOOSTING,0.25,4,75,-4.302460603724449,-0.9605076104382438,-14.959074680734656,-0.32975251328665406,6.1690279554106615,-4.851477961793593,-0.4114902523690995,0,0.0,4.439987709424494,14.959074680734656,-6.920270135334155,True,True,False,False,False,False
4min,4,temperature,240,HIST_GRADIENT_BOOSTING,0.5,4,75,-12.006829521448152,-3.7989579395581456,-38.515777941479165,-1.913624265197153,15.327012147139206,-12.78454273373029,-3.0212447272760072,0,0.0,9.763298006454283,38.515777941479165,-18.30955142815508,True,True,False,False,False,False
4min,4,temperature,240,HIST_GRADIENT_BOOSTING,0.75,4,75,-22.1247368388389,-8.36605413053806,-67.07212712432711,-4.694711969952372,25.994413875713,-23.255927821441244,-7.234863147935716,0,0.0,16.021064673505528,67.07212712432711,-33.1446182483726,True,True,False,False,False,False
4min,4,temperature,240,HIST_GRADIENT_BOOSTING,1.0,4,75,-33.98861229953022,-14.445808017622507,-98.48177150759513,-8.581061655280731,37.32630691119815,-36.5492770710484,-11.885143246104324,0,0.0,24.664133824944077,98.48177150759513,-51.39831780699333,True,True,False,False,False,False
4min,4,temperature,480,HIST_GRADIENT_BOOSTING,0.25,4,75,0.09862833765288948,0.5942879434217421,-3.156443718829756,2.36238118259783,2.140074116512188,-1.113422746410999,1.8063390274856306,2,0.5,2.9197617738966297,3.156443718829756,-1.6547038732340118,True,True,False,True,False,False
4min,4,temperature,480,HIST_GRADIENT_BOOSTING,0.5,4,75,-2.590719878411729,-0.6726550539200145,-10.450313188854292,1.4327437830474048,4.719429278142044,-4.147144645097393,0.8837697127656493,2,0.5,5.030914357863042,10.450313188854292,-5.800690530065109,True,True,False,False,False,False
4min,4,temperature,480,HIST_GRADIENT_BOOSTING,0.75,4,75,-7.817786278061075,-4.790015067806717,-21.13653209663769,-0.5545828799931769,7.881591464736126,-8.879310949881468,-3.7284903959863254,0,0.0,5.150820553895143,21.13653209663769,-12.649558368913711,True,True,False,False,False,False
4min,4,temperature,480,HIST_GRADIENT_BOOSTING,1.0,4,75,-15.19512669518252,-11.066989149988983,-34.40838908106621,-4.238139399685902,11.573412419550637,-18.776396809376052,-7.4857190357954515,0,0.0,11.290677773580601,34.40838908106621,-25.314425307045838,True,True,False,False,False,False
4min,4,temperature,60,EXTRA_TREES,0.25,4,75,1.6992115859413297,1.5297257109497975,-4.106455546500093,7.843850468365817,4.596283244104404,-1.7902358497412991,5.0191731466324265,2,0.5,6.809408996373726,4.106455546500093,-2.9015926738620887,True,True,False,True,False,False
4min,4,temperature,60,EXTRA_TREES,0.5,4,75,1.5777222673983042,1.61401870967712,-9.771070799720304,12.853922449959281,8.751184780431188,-4.99657049105139,8.188311468126814,2,0.5,13.184881959178204,9.771070799720304,-7.421189969842059,True,True,False,True,False,False
4min,4,temperature,60,EXTRA_TREES,0.75,4,75,-0.441477870811982,0.23548198473758664,-16.767297194828576,14.530421742105473,12.23033209174605,-9.493740484950274,9.287744598875879,2,0.5,18.781485083826155,16.767297194828576,-13.347084855882635,True,True,False,False,False,False
4min,4,temperature,60,EXTRA_TREES,1.0,4,75,-4.3312148457655235,-2.56723508983563,-24.87151482808255,12.681125624691717,14.926451813140131,-15.131778988349712,8.233329052748559,2,0.5,23.36510804109827,24.87151482808255,-20.467667817405403,True,True,False,False,False,False
4min,4,temperature,120,EXTRA_TREES,0.25,4,75,1.0912609065276209,0.2737168907232653,-3.1551825727222784,6.9727924173862315,3.976071781784317,-2.198633948933183,3.5636117461840695,2,0.5,5.762245695117253,3.1551825727222784,-3.3962016000159307,True,True,False,False,False,False
4min,4,temperature,120,EXTRA_TREES,0.5,4,75,0.41545956025566433,0.06442682855817816,-8.955057837928118,10.488042421834418,7.524862357013274,-5.415629399505143,5.895515788318985,2,0.5,11.311145187824128,8.955057837928118,-7.829910224835915,True,True,False,False,False,False
4min,4,temperature,120,EXTRA_TREES,0.75,4,75,-2.0306131732752886,-0.6272573376254407,-17.007003254351424,10.139065236501152,10.706225858031736,-9.529247447564003,6.871376936663275,2,0.5,16.400624384227278,17.007003254351424,-13.079320343326936,True,True,False,False,False,False
4min,4,temperature,120,EXTRA_TREES,1.0,4,75,-6.126646654356501,-2.1397703988590657,-26.882994281756584,6.655948462048715,13.76146182016379,-14.407060326458266,6.1406432732427,2,0.5,20.547703599700966,26.882994281756584,-19.134370769148696,True,True,False,False,False,False
