resolution,resolution_minutes,target,corrector,candidate_id,parameters,n_training_samples,n_test_samples,fit_seconds,inference_seconds,model_path
4min,4,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",1089,2742,3.3244945000624284,0.26970039994921535,models\robust_residual_hybrid\4min\temperature\HIST_GRADIENT_BOOSTING.joblib
4min,4,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",1089,2742,0.48777000000700355,0.04534549999516457,models\robust_residual_hybrid\4min\temperature\EXTRA_TREES.joblib
4min,4,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",1089,2742,1.1933620000490919,0.13725709996651858,models\robust_residual_hybrid\4min\temperature\XGBOOST.joblib
4min,4,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",1089,2742,1.3638387999963015,0.05586980003863573,models\robust_residual_hybrid\4min\temperature\RANDOM_FOREST.joblib
4min,4,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",1089,2742,3.1271546999923885,0.2825706999283284,models\robust_residual_hybrid\4min\relative_humidity\HIST_GRADIENT_BOOSTING.joblib
4min,4,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",1089,2742,0.5226939999265596,0.04414130002260208,models\robust_residual_hybrid\4min\relative_humidity\EXTRA_TREES.joblib
4min,4,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",1089,2742,4.855976499966346,0.15969090000726283,models\robust_residual_hybrid\4min\relative_humidity\XGBOOST.joblib
4min,4,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",1089,2742,1.4484324998920783,0.053990400047041476,models\robust_residual_hybrid\4min\relative_humidity\RANDOM_FOREST.joblib
12min,12,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",213,378,0.8732157000340521,0.1250253999605775,models\robust_residual_hybrid\12min\temperature\HIST_GRADIENT_BOOSTING.joblib
12min,12,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",213,378,0.14527520001865923,0.03918209997937083,models\robust_residual_hybrid\12min\temperature\EXTRA_TREES.joblib
12min,12,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",213,378,2.4874346000142395,0.023024900001473725,models\robust_residual_hybrid\12min\temperature\XGBOOST.joblib
12min,12,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",213,378,0.32781629997771233,0.038937099976465106,models\robust_residual_hybrid\12min\temperature\RANDOM_FOREST.joblib
12min,12,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",213,378,0.661944399937056,0.09432740008924156,models\robust_residual_hybrid\12min\relative_humidity\HIST_GRADIENT_BOOSTING.joblib
12min,12,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",213,378,0.16115009994246066,0.05039870005566627,models\robust_residual_hybrid\12min\relative_humidity\EXTRA_TREES.joblib
12min,12,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",213,378,2.394674399984069,0.03321370005141944,models\robust_residual_hybrid\12min\relative_humidity\XGBOOST.joblib
12min,12,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",213,378,0.33119290007743984,0.05028279998805374,models\robust_residual_hybrid\12min\relative_humidity\RANDOM_FOREST.joblib
20min,20,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",348,556,1.1540706999367103,0.10623540007509291,models\robust_residual_hybrid\20min\temperature\HIST_GRADIENT_BOOSTING.joblib
20min,20,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",348,556,0.15284749993588775,0.05127990001346916,models\robust_residual_hybrid\20min\temperature\EXTRA_TREES.joblib
20min,20,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",348,556,2.1596268999855965,0.033413800061680377,models\robust_residual_hybrid\20min\temperature\XGBOOST.joblib
20min,20,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",348,556,0.5290773999877274,0.039069200051017106,models\robust_residual_hybrid\20min\temperature\RANDOM_FOREST.joblib
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",348,556,1.2617377999704331,0.09945410001091659,models\robust_residual_hybrid\20min\relative_humidity\HIST_GRADIENT_BOOSTING.joblib
20min,20,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",348,556,0.19498590007424355,0.04136049991939217,models\robust_residual_hybrid\20min\relative_humidity\EXTRA_TREES.joblib
20min,20,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",348,556,3.571629900019616,0.04576929996255785,models\robust_residual_hybrid\20min\relative_humidity\XGBOOST.joblib
20min,20,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",348,556,0.46417459996882826,0.04122080001980066,models\robust_residual_hybrid\20min\relative_humidity\RANDOM_FOREST.joblib
