resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,n_windows,minimum_window_n,mean_gain_pct,median_gain_pct,worst_window_gain_pct,best_window_gain_pct,gain_std_pct,gain_q25_pct,gain_q75_pct,positive_windows,positive_window_fraction,gain_iqr_pct,worst_loss_magnitude_pct,robust_score,passes_window_count,passes_sample_count,passes_positive_fraction,passes_median_gain,passes_worst_window,eligible,selection_reason,correction_base_model,fallback_policy,historical_corrector,historical_alpha,corrector_match,alpha_match,complete_match
4min,4,temperature,60,HIST_GRADIENT_BOOSTING,0.25,4.0,75.0,5.1321235086816515,4.69745009245524,0.6060844169779,10.527509432838224,4.290866016804444,1.09429127256638,8.735282328570511,4.0,1.0,7.640991056004131,0.0,0.8769545644531744,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,HIST_GRADIENT_BOOSTING,0.25,True,True,True
4min,4,temperature,120,HIST_GRADIENT_BOOSTING,0.25,4.0,75.0,2.7303959910143263,1.2279710112560949,0.6150698480089491,7.850572093536166,2.9731094504354414,0.86788328969472,3.090483712575701,4.0,1.0,2.222600422880981,0.0,0.11667079981560446,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,BASE_ONLY,0.0,False,False,False
4min,4,temperature,240,BASE_ONLY,0.0,,,,,,,,,,,,,,0.0,,,,,,,fallback_no_candidate_passed,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,BASE_ONLY,0.0,True,True,True
4min,4,temperature,480,BASE_ONLY,0.0,,,,,,,,,,,,,,0.0,,,,,,,fallback_no_candidate_passed,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,XGBOOST,0.25,False,False,False
4min,4,relative_humidity,60,XGBOOST,0.25,4.0,75.0,2.9749141386067777,2.60298754544182,-0.8416552756373165,7.535336739180787,3.3992629829513614,0.01685617699128944,5.561045507057308,3.0,0.75,5.544189330066018,0.8416552756373165,-0.3795209385005184,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,HIST_GRADIENT_BOOSTING,0.25,False,True,False
4min,4,relative_humidity,120,HIST_GRADIENT_BOOSTING,0.25,4.0,75.0,2.7911279658003387,3.4605730469841527,0.056121766658149545,4.187244002574898,1.6080597034736495,2.5388810649331903,3.712819947851301,4.0,1.0,1.1739388829181108,0.0,2.8736036055250973,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,HIST_GRADIENT_BOOSTING,0.25,True,True,True
4min,4,relative_humidity,240,EXTRA_TREES,0.25,4.0,75.0,2.086457785133388,2.418095786552451,0.11923261501351397,3.3904069524151366,1.2233756460080452,1.6083737101190019,2.8961798615668366,4.0,1.0,1.2878061514478347,0.0,1.7741927108285336,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,EXTRA_TREES,0.25,True,True,True
4min,4,relative_humidity,480,HIST_GRADIENT_BOOSTING,0.5,4.0,75.0,6.862679514864892,5.94109255265994,2.02308624300379,13.545446711135899,4.253220450783677,4.109779268921164,8.693992798603668,4.0,1.0,4.584213529682504,0.0,3.648985787818688,True,True,True,True,True,True,passed_multi_window_rule,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,XGBOOST,0.5,False,True,False
12min,12,temperature,60,BASE_ONLY,0.0,,,,,,,,,,,,,,0.0,,,,,,,fallback_no_candidate_passed,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,BASE_ONLY,0.0,True,True,True
12min,12,temperature,120,BASE_ONLY,0.0,,,,,,,,,,,,,,0.0,,,,,,,fallback_no_candidate_passed,SARIMA_DAILY_DIFFERENCE,BEST_ADVANCED_TRADITIONAL,HIST_GRADIENT_BOOSTING,0.25,False,False,False
