family_a,family_b,n_tasks,n_nonzero_tasks,n_numerical_ties,tasks_favoring_a,tasks_favoring_b,numerical_tie_tolerance,median_nrmse_difference_a_minus_b,mean_nrmse_difference_a_minus_b,rank_biserial_favoring_a,wilcoxon_statistic,p_value,direction,p_value_holm,significant_after_holm
ADVANCED_TRADITIONAL,BASELINE,40,40,0,39,1,1e-06,-0.07466564902584841,-0.08941952141994589,0.95,1.0,3.637978807091713e-12,ADVANCED_TRADITIONAL_better,5.4569682106375694e-11,True
ADVANCED_TRADITIONAL,DEEP_LEARNING,40,40,0,33,7,1e-06,-0.05614936595690355,-0.05340099578055242,0.65,59.0,1.634398358874023e-07,ADVANCED_TRADITIONAL_better,1.634398358874023e-06,True
ADVANCED_TRADITIONAL,HYBRID_ROBUST,40,7,33,1,6,1e-06,0.0,0.0015328034389710554,-0.7142857142857143,1.0,0.03125,HYBRID_ROBUST_better,0.1875,False
ADVANCED_TRADITIONAL,MACHINE_LEARNING,40,40,0,16,24,1e-06,0.01709925279919225,0.001562886619653836,-0.2,367.0,0.5717037787562731,MACHINE_LEARNING_better,1.0,False
ADVANCED_TRADITIONAL,STATISTICAL,40,40,0,24,16,1e-06,-0.005570562140717744,-0.004382750859942634,0.2,317.0,0.2162961354260915,ADVANCED_TRADITIONAL_better,0.865184541704366,False
BASELINE,DEEP_LEARNING,40,40,0,11,29,1e-06,0.0516998962251628,0.03601852563939348,-0.45,200.0,0.004052109774420387,DEEP_LEARNING_better,0.02836476842094271,True
BASELINE,HYBRID_ROBUST,40,40,0,1,39,1e-06,0.07773988958991307,0.09095232485891694,-0.95,1.0,3.637978807091713e-12,HYBRID_ROBUST_better,5.4569682106375694e-11,True
BASELINE,MACHINE_LEARNING,40,40,0,5,35,1e-06,0.0786225319371624,0.09098240803959974,-0.75,46.0,3.480272425804287e-08,MACHINE_LEARNING_better,4.5243541535455734e-07,True
BASELINE,STATISTICAL,40,40,0,9,31,1e-06,0.060348247764457935,0.08503677056000325,-0.55,67.0,3.8751750253140926e-07,STATISTICAL_better,3.4876575227826834e-06,True
DEEP_LEARNING,HYBRID_ROBUST,40,40,0,7,33,1e-06,0.05614936595690355,0.05493379921952348,-0.65,50.0,5.723268259316683e-08,HYBRID_ROBUST_better,6.867921911180019e-07,True
DEEP_LEARNING,MACHINE_LEARNING,40,40,0,7,33,1e-06,0.056446753236381375,0.054963882400206256,-0.65,56.0,1.1634983820840716e-07,MACHINE_LEARNING_better,1.2798482202924788e-06,True
DEEP_LEARNING,STATISTICAL,40,40,0,8,32,1e-06,0.04635797833501537,0.049018244920609785,-0.6,100.0,8.152759619406424e-06,STATISTICAL_better,6.52220769552514e-05,True
HYBRID_ROBUST,MACHINE_LEARNING,40,40,0,17,23,1e-06,0.012948782386409091,3.0083180682780735e-05,-0.15,380.0,0.6948266715426143,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,STATISTICAL,40,40,0,25,15,1e-06,-0.0056508198588677006,-0.005915554298913689,0.25,285.0,0.09449897358172166,HYBRID_ROBUST_better,0.4724948679086083,False
MACHINE_LEARNING,STATISTICAL,40,40,0,24,16,1e-06,-0.023061390712135643,-0.0059456374795964695,0.2,337.0,0.33356623058170953,MACHINE_LEARNING_better,1.0,False
