family_a,family_b,metric,n_tasks,bootstrap_repetitions,mean_difference,median_difference,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,mean_ci_excludes_zero,median_ci_excludes_zero
ADVANCED_TRADITIONAL,BASELINE,NRMSE normalized by test-task target SD,40,5000,-0.08941952141994589,-0.07466564902584841,-0.11307310391631949,-0.06730947284938008,-0.11529711573843478,-0.04146007713249092,True,True
ADVANCED_TRADITIONAL,DEEP_LEARNING,NRMSE normalized by test-task target SD,40,5000,-0.05340099578055242,-0.05614936595690355,-0.06881128665894533,-0.03812861471784629,-0.07414446179998249,-0.038554796372714695,True,True
ADVANCED_TRADITIONAL,HYBRID_ROBUST,NRMSE normalized by test-task target SD,40,5000,0.0015328034389710554,0.0,0.0003379087393635559,0.003260564168321395,0.0,0.0,True,False
ADVANCED_TRADITIONAL,MACHINE_LEARNING,NRMSE normalized by test-task target SD,40,5000,0.001562886619653836,0.01709925279919225,-0.011113276109013125,0.013326455112865013,-0.0025124274378820893,0.025695827829444934,False,False
ADVANCED_TRADITIONAL,STATISTICAL,NRMSE normalized by test-task target SD,40,5000,-0.004382750859942634,-0.005570562140717744,-0.010693637883176328,0.0019104629729432144,-0.012788773464508296,0.0031303458115613525,False,False
BASELINE,DEEP_LEARNING,NRMSE normalized by test-task target SD,40,5000,0.03601852563939348,0.0516998962251628,0.014310788786039433,0.05755567443005375,0.022798614416557006,0.07198286224923106,True,True
BASELINE,HYBRID_ROBUST,NRMSE normalized by test-task target SD,40,5000,0.09095232485891694,0.07773988958991307,0.06875955151442062,0.11456983680388844,0.04146007713249092,0.11828076953097987,True,True
BASELINE,MACHINE_LEARNING,NRMSE normalized by test-task target SD,40,5000,0.09098240803959974,0.0786225319371624,0.06669538934510702,0.11398507541489976,0.06517807177921384,0.13221856339103571,True,True
BASELINE,STATISTICAL,NRMSE normalized by test-task target SD,40,5000,0.08503677056000325,0.060348247764457935,0.058391593498879735,0.11443387342910002,0.03616004000193629,0.1155461210757778,True,True
DEEP_LEARNING,HYBRID_ROBUST,NRMSE normalized by test-task target SD,40,5000,0.05493379921952348,0.05614936595690355,0.03979720550682283,0.07033770842205936,0.040412081844157316,0.075741311205139,True,True
DEEP_LEARNING,MACHINE_LEARNING,NRMSE normalized by test-task target SD,40,5000,0.054963882400206256,0.056446753236381375,0.03914328844040493,0.070902267137483,0.0350508805289189,0.06755889623080885,True,True
DEEP_LEARNING,STATISTICAL,NRMSE normalized by test-task target SD,40,5000,0.049018244920609785,0.04635797833501537,0.031166690842457538,0.06665062271073344,0.03703904439298614,0.07610167147414305,True,True
HYBRID_ROBUST,MACHINE_LEARNING,NRMSE normalized by test-task target SD,40,5000,3.0083180682780735e-05,0.012948782386409091,-0.012780490826611956,0.011726581472227085,-0.004494028277655937,0.02482787454731364,False,False
HYBRID_ROBUST,STATISTICAL,NRMSE normalized by test-task target SD,40,5000,-0.005915554298913689,-0.0056508198588677006,-0.01209482081455411,0.0005022342168154614,-0.015424547374688888,0.0023513681946373544,False,False
MACHINE_LEARNING,STATISTICAL,NRMSE normalized by test-task target SD,40,5000,-0.0059456374795964695,-0.023061390712135643,-0.018804709521573624,0.0072934261528735025,-0.03224804066070627,0.01743322218123247,False,False
