resolution_minutes,target,horizon_minutes,minimum_rmse,winning_families,n_winners,winner_label,winner_category
4,temperature,60,0.7538033236331115,STATISTICAL,1,S,STATISTICAL
4,temperature,120,1.1287657127908823,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
4,temperature,240,1.3999817238489205,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
4,temperature,480,1.4734788732031543,DEEP_LEARNING,1,DL,DEEP_LEARNING
4,relative_humidity,60,2.243760498998064,STATISTICAL,1,S,STATISTICAL
4,relative_humidity,120,3.0232653945906978,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
4,relative_humidity,240,3.833111566139503,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
4,relative_humidity,480,4.254288360038235,DEEP_LEARNING,1,DL,DEEP_LEARNING
12,temperature,60,0.7722645262513078,STATISTICAL,1,S,STATISTICAL
12,temperature,120,1.1912133076405966,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
12,temperature,240,1.4699554813694535,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
12,temperature,480,1.8025429724257855,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
12,relative_humidity,60,2.1093200586861647,STATISTICAL,1,S,STATISTICAL
12,relative_humidity,120,3.0237573498931014,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
12,relative_humidity,240,3.5753158786767187,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
12,relative_humidity,480,4.534361202888766,DEEP_LEARNING,1,DL,DEEP_LEARNING
20,temperature,60,0.7360440590233426,STATISTICAL,1,S,STATISTICAL
20,temperature,120,1.193826890034562,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
20,temperature,240,1.4560580022282106,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
20,temperature,480,1.4745475817253957,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
20,relative_humidity,60,2.074689456935223,STATISTICAL,1,S,STATISTICAL
20,relative_humidity,120,2.9302556263390582,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
20,relative_humidity,240,3.846921701672464,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
20,relative_humidity,480,4.160722689339808,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,temperature,60,0.7434406505543634,STATISTICAL,1,S,STATISTICAL
30,temperature,120,1.1324798194917032,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,temperature,240,1.4998471958805082,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,temperature,480,1.587428656652116,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,relative_humidity,60,1.991691451324569,STATISTICAL,1,S,STATISTICAL
30,relative_humidity,120,2.7901912405503344,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,relative_humidity,240,3.9401990036592665,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
30,relative_humidity,480,4.477558559203536,MACHINE_LEARNING,1,ML,MACHINE_LEARNING
60,temperature,60,0.6849909181171286,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,temperature,120,1.1135499573897387,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,temperature,240,1.561008581366886,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,temperature,480,1.7028050121582066,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,relative_humidity,60,1.6243964614100628,STATISTICAL,1,S,STATISTICAL
60,relative_humidity,120,3.1370801029150805,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,relative_humidity,240,3.874027473690109,ADVANCED_TRADITIONAL;HYBRID_ROBUST,2,AT / RH,SHARED
60,relative_humidity,480,4.474226810595328,BASELINE,1,B,BASELINE
