resolution_minutes,target,horizon_minutes,ADVANCED_TRADITIONAL,HYBRID_ROBUST,hybrid_gain_pct,outcome
4,relative_humidity,60,2.5995761825495736,2.500680755449972,3.8042903979297296,HYBRID_ROBUST_BETTER
4,relative_humidity,120,3.638494451267362,3.563889722745545,2.0504285363367982,HYBRID_ROBUST_BETTER
4,relative_humidity,240,4.261353325376076,4.178795419449519,1.937363546808721,HYBRID_ROBUST_BETTER
4,relative_humidity,480,4.749364090988573,4.388923333538054,7.589242486892464,HYBRID_ROBUST_BETTER
4,temperature,60,0.8884010009822955,0.8594996571974653,3.253186765084034,HYBRID_ROBUST_BETTER
4,temperature,120,1.2652663072103514,1.239986987827191,1.9979445622713252,HYBRID_ROBUST_BETTER
4,temperature,240,1.579127680419078,1.579127680419078,0.0,NUMERICAL_TIE
4,temperature,480,1.729836676032337,1.729836676032337,0.0,NUMERICAL_TIE
12,relative_humidity,60,2.414273352049109,2.414273352049109,0.0,NUMERICAL_TIE
12,relative_humidity,120,3.3013151050084555,3.3013151050084555,0.0,NUMERICAL_TIE
12,relative_humidity,240,3.855658959518399,3.855658959518399,0.0,NUMERICAL_TIE
12,relative_humidity,480,4.756414126275844,4.756414126275844,0.0,NUMERICAL_TIE
12,temperature,60,0.8482878491180759,0.8482878491180759,0.0,NUMERICAL_TIE
12,temperature,120,1.1912133076405966,1.1912133076405966,0.0,NUMERICAL_TIE
12,temperature,240,1.5278842719327588,1.5278842719327588,0.0,NUMERICAL_TIE
12,temperature,480,1.8025429724257855,1.8025429724257855,0.0,NUMERICAL_TIE
20,relative_humidity,60,2.348092296172051,2.348092296172051,0.0,NUMERICAL_TIE
20,relative_humidity,120,3.376306050490002,3.376306050490002,0.0,NUMERICAL_TIE
20,relative_humidity,240,4.175194000912502,4.175194000912502,0.0,NUMERICAL_TIE
20,relative_humidity,480,4.607100546040632,4.607100546040632,0.0,NUMERICAL_TIE
20,temperature,60,0.8110355195888627,0.8110355195888627,0.0,NUMERICAL_TIE
20,temperature,120,1.2203747835289516,1.2203747835289516,0.0,NUMERICAL_TIE
20,temperature,240,1.573806295301963,1.573806295301963,0.0,NUMERICAL_TIE
20,temperature,480,1.6958987760165205,1.6958987760165205,0.0,NUMERICAL_TIE
30,relative_humidity,60,2.220304356231926,2.220304356231926,0.0,NUMERICAL_TIE
30,relative_humidity,120,3.3080643013972084,3.3080643013972084,0.0,NUMERICAL_TIE
30,relative_humidity,240,4.202306568274551,4.202306568274551,0.0,NUMERICAL_TIE
30,relative_humidity,480,4.730443893258907,4.730443893258907,0.0,NUMERICAL_TIE
30,temperature,60,0.7991429461374857,0.7991429461374857,0.0,NUMERICAL_TIE
30,temperature,120,1.2339476007928185,1.2339476007928185,0.0,NUMERICAL_TIE
30,temperature,240,1.6448434904371096,1.6448434904371096,0.0,NUMERICAL_TIE
30,temperature,480,1.7792322473601596,1.7792322473601596,0.0,NUMERICAL_TIE
60,relative_humidity,60,2.025780778831197,2.030320384867657,-0.22409167289459453,ADVANCED_TRADITIONAL_BETTER
60,relative_humidity,120,3.1370801029150805,3.1370801029150805,0.0,NUMERICAL_TIE
60,relative_humidity,240,3.874027473690109,3.874027473690109,0.0,NUMERICAL_TIE
60,relative_humidity,480,4.515648694336621,4.515648694336621,0.0,NUMERICAL_TIE
60,temperature,60,0.6849909181171286,0.6849909181171286,0.0,NUMERICAL_TIE
60,temperature,120,1.1135499573897387,1.1135499573897387,0.0,NUMERICAL_TIE
60,temperature,240,1.561008581366886,1.561008581366886,0.0,NUMERICAL_TIE
60,temperature,480,1.7028050121582066,1.7028050121582066,0.0,NUMERICAL_TIE
